PDB_ID	bits
1a5yA	9.816
8fgwC	9.816
7mc9E	9.816
6v2dK	9.816
5qu6R	9.816
4zt6A	9.816
5tquA	9.816
4c3jG	9.816
7qanBBB	9.816
3q7oA	9.816
3kflA	9.816
3a5kA	9.816
8p51A	9.816
8c1vD	9.816
5mmmV	9.816
7d59N	9.816
3q7mA	9.816
4s37Q	9.816
3rayA	9.194
4mw1A	9.194
8ey4A	9.194
7jiyA	9.194
8hqxA	8.611
6i1tA	8.611
2ct3A	8.611
3myhX	8.611
1gcpD	8.611
4zb4B	8.611
2i2lC	8.611
4immA	8.611
3ulpA	8.611
3jboA0	8.611
4mw9A	8.065
8e14C	8.065
1lr7A	8.065
7t3cE	8.065
5ejkG	8.065
4eg3A	8.065
8adlQ	8.065
4zt7A	8.065
5ejkB	8.065
6xqwE	7.554
3mykX	7.554
8f0eB	7.554
4eg6A	7.554
1g26A	7.554
4kikA	7.554
5qu6_U	7.554
5m5xG	7.554
7txjA	7.554
