PDB_ID	bits
4y1bA	8.132
6zj2M	8.132
5f64C	7.644
6zj2D	6.755
1sulB	5.969
5w43B	5.969
5o8yD	5.274
6cczB	5.274
3kuuA	5.274
6zj2L	4.958
2vuhB	4.661
6zixA	4.661
1ps0A	4.381
6zj2C	4.118
3uk0A	4.118
6oecI	3.871
6oecD	3.871
1e3jA	3.871
5w43A	3.639
5z0yA	3.639
5k1sD	3.639
4l85B	3.421
3i3uE	3.216
5i4cA	3.216
6oecE	3.023
4ms4B	3.023
2j48A	2.842
6zj2O	2.842
1xhfA	2.842
3pgyC	2.671
3hdgA	2.671
7oydv	2.671
1gjuA	2.36
1xbtD	2.219
4ra6B	2.219
4ldaH	2.219
1nxxA	2.086
4uhjA	2.086
1qmpD	1.961
8e9gO	1.733
6zj2N	1.733
7qpeA	1.733
3qwbB	1.733
6oecG	1.733
1wekF	1.629
4ldzB	1.531
5borA	1.439
6od1A	1.439
3piiA	1.353
2orvA	1.272
A0A7J2SXC8	0.01457
A0A4P2VCH3	0.006521
A0A850MN05	0.0005844
A0A7C5FEW6	0.0001499
A0A849M3I9	6.306e-05
A0A2J6XLU3	4.351e-05
A0A7R7TE69	3.845e-05
I4CB11	2.204e-05
D3PBG2	1.263e-05
A0A7V9I8X0	1.116e-05
A0A7V6HKG5	9.27e-06
A0A3L7JXX0	7.7e-06
C1KVS7	6.013e-06
A0A424YDB5	5.313e-06
A0A7S2X613	3.239e-06
A0A511X3P4	3.239e-06
W1QB47	3.045e-06
A0A7C2P4Q3	3.045e-06
A0A2V8TM20	2.691e-06
A0A1I5RQQ4	2.529e-06
A0A7X9GAC6	2.529e-06
A0A6I3WYW1	2.101e-06
M1M0C5	1.857e-06
A0A2V9T2H6	1.641e-06
A0A7V3SPX9	1.45e-06
A0A1E5L7I2	1.45e-06
A0A2A8IFB8	1.281e-06
A0A2E0SHE3	1.064e-06
A0A3D2WDI8	1e-06
A0A7S3Z6J3	8.839e-07
A0A7C0ZBY8	8.309e-07
A0A4R9IWY3	5.389e-07
A0A2N6BBG9	5.066e-07
A0A7C7PH20	3.495e-07
A0A7V3L550	3.089e-07
P18304	2.903e-07
A0A2D1SPC6	2.729e-07
A0A7C5PCA6	2.566e-07
A0A3M1RZ47	2.131e-07
A0A2K8KSK4	1.77e-07
A0A2A4SX51	1.564e-07
A0A7W1QZR3	1.564e-07
A0A8B4QAS6	1.564e-07
A0A433RV54	1.564e-07
A0A2V8W0R8	1.382e-07
A0A7C7M3B3	1.299e-07
A0A1F8RCH2	1.299e-07
Q1ISJ1	1.015e-07
A0A4P5Y026	9.537e-08
A0A1F9P0F0	7e-08
