PDB_ID	bits
6mrjB	9.874
2be9B	9.322
2qgfD	9.322
3lghA	8.802
1s5jA	8.802
2wvcB	8.31
7bc4B	7.407
2wvdC	6.993
6cvlD	6.993
2e29A	6.603
5fgjD	6.234
2kjwA	6.234
7objC	5.885
6cvlC	5.556
7b90E	5.556
2wvdB	5.556
2wvbB	5.246
1phzA	5.246
1kohA	5.246
6ql5G	4.953
2ivmA	4.676
6hixAX	4.676
7nljA	4.676
2raqA	4.415
7bfdK	4.415
1y7pB	4.168
6lxgB	4.168
1ul3D	4.168
6jshB	3.715
5fgjC	3.715
4pcqB	3.508
6wo1B	3.508
2cadB	3.127
7cwwA	3.127
3qsiI	3.127
3ta0E	2.787
6dzsA	2.631
2wveB	2.631
2go8A	2.631
4pg7B	2.631
2ipoB	2.631
2cz4B	2.631
4pcqD	2.346
3dhxB	2.346
5a6pA	2.346
2ko1B	2.215
2qz8B	2.215
6u9hG	2.215
3o1lA	2.091
7a8xD	2.091
