PDB_ID	bits
1uc5B	9.987
2yfkB	9.987
8sdbA	9.987
1p8jA	9.402
7f2oA	9.402
7ddyD	9.402
3o1hB	9.402
5x2pD	8.851
6dexA	8.851
5um2A	8.851
2yhbA	8.851
5w8nA	8.851
6mm9D	8.851
3t5pB	8.851
5e70A	8.851
1kaqD	8.332
1ujnB	8.332
1z18A	8.332
3gx1B	7.843
5mn5B	7.843
7eibB	7.843
3o1iD	7.843
5guhA	7.843
8jd22	7.843
4m6hA	7.843
6fpjA	7.383
7njnG	7.383
2q5cA	7.383
3iprA	7.383
3t5pA	7.383
4cm4A	7.383
3bleA	6.95
4wrrD	6.95
1o9nB	6.95
4iyjB	6.95
8gruB	6.543
1usgA	6.543
3pf9A	6.543
6hfzA	6.543
3t5pI	6.543
1o9qA	6.159
6kdfC	6.159
1zkbA	6.159
4wrrC	6.159
7nkkG	5.798
3nbmA	5.798
5x2mD	5.798
2bz1A	5.798
4b3nA	5.798
1dr8B	5.798
A0A0A0MRL7	0.0001346
A0A1D5QI24	2.197e-05
A0A2K6FVN5	8.355e-06
A0A7J7TSJ7	6.97e-06
A0A2D0S8A4	4.298e-06
A0A6P5KFX7	1.737e-06
U3JAP7	1.449e-06
A0A3P9LCW1	1.284e-06
A0A7R5KTK4	1.208e-06
I3KHK9	1.208e-06
A0A4W5QHT7	6.217e-07
A0A6P5A819	4.882e-07
A0A672QN98	2.364e-07
A0A3B1KJ52	1.645e-07
V9KJ93	7.969e-08
A0A673ZMH7	7.062e-08
A0A671K8Z5	6.258e-08
H9CW15	2.686e-08
A0A7L4GSV7	1.985e-08
A0A4W5Q9L1	1.468e-08
A0A3Q3R425	1.382e-08
A0A402ESI5	9.615e-09
A0A3Q3MJI4	8.521e-09
A0A3P8QLE4	8.521e-09
A0A3P9MW58	6.299e-09
A0A060XPX7	5.255e-09
A0A3Q0GUD2	4.947e-09
A0A3B4B2Y3	3.657e-09
A0A3B3SD69	3.657e-09
A0A6P7SL55	3.051e-09
A0A3B3CJA4	3.051e-09
A0A3Q4GCT6	2.545e-09
A0A096MEE7	2.396e-09
A0A1I8IYD7	2.396e-09
R7VGB4	1.667e-09
A0A3P9MVZ2	1.569e-09
A0A0P7Y5Y3	1.477e-09
A0A1S3JXZ9	1.309e-09
A0A5F9CSD6	7.155e-10
A0A6P8ZBP1	6.34e-10
A0A1S3JGC4	4.687e-10
A0A267GN23	3.465e-10
A0A3P8QJQ8	3.465e-10
A0A1D5RGZ3	3.465e-10
A0A813SWS8	3.071e-10
A0A6G1S3S0	2.721e-10
T1J912	2.721e-10
A0A7R9QBV2	2.411e-10
A0A3B3ZGQ7	2.411e-10
A0A7M7MFF4	2.27e-10
