PDB_ID	bits
5hsoD	9.195
5clvE	8.653
5clvF	8.144
3hseB	7.664
4yg1B	6.387
1serA	5.009
5clvM	4.714
7aihK	0.3461
6yxyAU	0.2555
2ftcL	0.116
3j9wBT	0.07582
7pirp	0.07135
4v61BS	0.06714
3j3wQ	0.06319
3j3vQ	0.05946
7phcp	0.05596
7saeQ	0.03887
6ha8Q	0.03049
7aqcQ	0.027
4v5hBQ	0.02541
4v77BQ	0.0225
6z1pAu	0.02118
6pvkQ	0.01765
6tpqj	0.01765
4v6oBS	0.01765
5njtj	0.01661
7oi6R	0.01471
6zseXR	0.01471
8fn2S	0.01303
4v50DQ	0.01154
6ppfQ	0.01154
2zjqN	0.009615
4v73BQ	0.009048
4v4xBT	0.008515
4ce4U	0.007541
4v4rBU	0.007097
2j28Q	0.007097
6o90R	0.007097
5myjBT	0.006678
3dllN	0.006678
6xywAq	0.005566
4v52BQ	0.005238
7pkto	0.005238
5nd9T	0.004929
7jilQ	0.004639
4v6nAS	0.004639
6n1dAL20	0.004365
4v5eBU	0.004108
4v48AO	0.004108
8apoAo	0.003866
A0A2D8YKH1	0.8223
A0A353PX31	0.3734
A0A1F6Q5V7	0.3112
A0A7V3AD17	0.3112
A0A2N8FNS0	0.2928
A0A4P5X5Y9	0.2441
A0A7W0ZAD4	0.1914
A0A7Z9XIZ9	0.1695
F8XUX2	0.1501
A0A7W1CTL6	0.1501
A0A6N6P5N1	0.1501
A0A0K2BKZ9	0.1413
A0A3B8WW63	0.1413
A0A258QVE8	0.133
A0A536W750	0.1251
A0A357L7L9	0.1178
A0A7H8VR32	0.1178
A0A849IIQ5	0.1043
A0A655N377	0.1043
A0A2W1B7R0	0.09814
A0A7V3ZV34	0.09236
A0A7W1ABY3	0.09236
A0A142Y6P0	0.08691
A0A261TEY1	0.08691
A0A0R2G1G0	0.08691
A0A3M0WJK8	0.08691
A0A6N2DXL9	0.08179
A0A7C5KS35	0.08179
A0A1F7YNH0	0.07697
A0A651HJJ0	0.07697
A0A832MAE2	0.07697
A0A535VWB4	0.07697
A0A485BRE9	0.07244
I7LFS4	0.07244
A0A4S8NPF5	0.07244
A0A0R2SAB4	0.07244
A0A351HUY4	0.06817
A0A7Y9W2J7	0.06817
A0A7C5GDY5	0.06817
A0A2W5A2A6	0.05681
A0A3D2W3W6	0.05681
A0A350ZQF6	0.05681
A0A7C4BZ26	0.05681
A0A5C7RE80	0.05347
A0A3S2FQJ0	0.05347
A0A2V5ZUX9	0.05347
A0A522C8G7	0.05347
A0A2S0MEP2	0.05031
A0A6N9Z638	0.04735
A0A7D5MWV8	0.04735
