PDB_ID	bits
4pxeB	6.384
5mg3F	0.6204
8djmA	0.1893
8djkA	0.01764
6m49B	0.0009878
1t9tA	1.786e-06
5xamB	1.385e-06
7etwB	7.652e-07
5xamA	3.568e-07
2hqdA	1.971e-07
2hqcA	1.811e-07
1t9uA	8.445e-08
6z12A	7.436e-08
3ksoA	5.527e-08
6z12B	2.368e-08
1iwgA	2.085e-08
6z12C	2.085e-08
3aoaA	1.485e-08
4k0eC	1.104e-08
1t9wA	8.562e-09
5yhfA	7.866e-09
5xanA	7.227e-09
2hqfA	7.227e-09
3aqpB	6.927e-09
4k7qA	6.639e-09
2rddA	4.73e-09
6bajA	4.73e-09
4k0jD	4.346e-09
2i6wA	3.668e-09
4k0jE	2.844e-09
7o3lB	2.844e-09
2hqgA	1.784e-09
7b5pA	1.71e-09
3t56A	1.271e-09
5v5sL	1.119e-09
3nogB	5.682e-10
7b5pC	5.446e-10
7b5pB	4.597e-10
6vejC	4.406e-10
6csxC	2.434e-10
7k8dA	1.887e-10
6nziA	1.403e-10
4dnrA	1.289e-10
7kf7B	1.184e-10
2v50E	1.135e-10
3nocA	1.088e-10
4k0eB	9.58e-11
6csxB	9.58e-11
7rr8A	9.182e-11
6bajB	8.801e-11
A0A060VQ45	8.053
A0A834HQC6	5.271
A0A2M4DNX4	2.912
A0A336K5W7	2.675
A0A6G1BS91	2.458
A0A183IC81	1.542
A0A4Z2DPQ9	1.542
A0A6B2KWP2	1.247
A0A161Y7I9	1.098
A0A4Y2KZN2	1.053
A0A2L2XW27	0.9272
A0A0F8BLH9	0.9272
A0A0C2H0S7	0.9272
A0A176VYX2	0.8887
A0A7D9H732	0.8165
A0A6A3WBF5	0.8165
A0CEP2	0.7826
A0A6H5J607	0.7826
A0A1B0CLS9	0.6891
A0A0L1KPZ5	0.6331
A0A3P7ZU38	0.5575
A0A7G3AE72	0.5122
A0A7M7NP02	0.5122
A0A7M7NM48	0.4706
A0A7S3W2M8	0.451
A0A6P6NC57	0.3807
A0A7I4XV20	0.3649
A0A3P6U9R4	0.308
A0A1R3G932	0.2952
A0A7I4Y0M7	0.2952
A0A6S8KRQ9	0.283
A0A0K2U8Y5	0.283
A0A336K2U8	0.26
A0A813EWF1	0.2492
A0A0P4VN91	0.2103
A0A7I4Y9F4	0.2103
G5A4B0	0.2016
A0A0J8U9S6	0.2016
A0A813IWR2	0.2016
W5J2W0	0.2016
A0A3P6T542	0.1932
A0A0V1BC33	0.1852
A0A0A1WZ97	0.1852
A0A813EHP7	0.1775
A0A060VX74	0.1775
A0A7I4Y2S7	0.1702
A0A0V1HLV5	0.1631
A0A183IZ78	0.1563
A0A085NHR8	0.1563
A0A060WJV7	0.1498
