PDB_ID	bits
7jh5B	8.32
7jh5A	8.32
4z9gB	8.32
2xraA	4.537
5vewB	3.35
8t06B	3.072
1xioA	3.072
8tzsA	1.237
4tl3B	1.04
6fj3A	0.384
6lpbR	0.2187
8jd32	0.2094
8oyxA	0.1686
8oyyB	0.1418
7e9hR	0.1358
8e3zR	0.1245
5v56B	0.1245
3ddlB	0.1245
7e9gR	0.1047
6vn7R	0.09194
7rg9R	0.08804
8taoB	0.07731
6whcR	0.07403
6m1hA	0.07089
7mtsA	0.06789
7zi0A	0.06501
7wz7R	0.05961
6m1iA	0.05709
8jd52	0.05013
7v9mR	0.05013
8jd54	0.048
8cxoA	0.048
7eq1R	0.04402
8e3xR	0.04215
7vvjR	0.04037
7wxuR	0.03866
5l7iB	0.02981
7zi0B	0.02981
7wbjR	0.02854
7vvkR	0.02854
4qinA	0.02618
5v57A	0.024
6p9yR	0.024
7cz5R	0.02201
7vvlR	0.02108
6wzgR	0.01933
8jmtA	0.01933
7s8mR	0.01851
7vabR	0.01772
7x10R	0.01772
