PDB_ID	bits
4a4zA	6.226
3f70B	6.226
4a4kI	5.529
2mwoA	4.628
6amvA	4.11
7cjtD	4.11
6o8wV	4.11
7qe0A	4.11
2csqA	3.65
8bjaA	3.241
7qvpME	3.055
6zvkT2	3.055
4c5eD	3.055
7oybE1	2.879
4c5eC	2.879
3rnjA	2.879
5kh6A	2.713
4wfaR	2.713
4c5eA	2.713
5ke3A	2.713
2egeA	2.713
7oyaE1	2.556
4fl6A	2.556
4aplD	2.556
5o2qA	2.409
2jt4A	2.409
4c5eB	2.27
4z88G	2.27
6lu8o	2.27
7ut1g	2.27
4v8mA1	2.27
4ug0LE	2.27
2mioA	2.27
6ip81H	2.14
2bszA	2.016
4c5hA	2.016
6th6Af	2.016
5kpvT	2.016
4d5yE	1.9
2ablA	1.791
3hrtA	1.791
7qfzE	1.687
7ut1f	1.687
2a28C	1.687
2bszB	1.687
4ioaR	1.687
3h6zB	1.59
6o8yV	1.59
6y0gLE	1.59
7tb6A	1.499
