PDB_ID	bits
3eqxB	9.823
2m30A	9.823
3wgiA	9.177
3ketA	8.573
5afqB	8.573
5x80C	8.573
7ml2W	8.573
3wg9A	8.009
3k1nA	8.009
3keqA	8.009
3hrmB	8.009
7z1nO	8.009
1ku9B	8.009
3zecA	7.482
3wg9D	7.482
7d98Q	6.989
2p4wA	6.989
5hsoD	6.989
3s2wD	6.529
2oqgD	6.529
5wayB	6.1
5looL	6.1
1r1tA	6.1
2kjcB	6.1
4za6B	6.1
5c17A	5.698
6a6iG	5.323
7astX	5.323
3fm5C	5.323
7vbtA	4.973
1aisB	4.973
4ihsC	4.973
4hf1A	4.973
1wsuD	4.973
4pcqB	4.973
4hx7B	4.646
7u5qB	4.646
5zu1B	4.646
7xuxA	4.646
6o8mA	4.646
5loeD	4.34
4hf0B	4.34
4chuB	4.34
5y2vC	4.34
1oltA	4.055
4hx7A	4.055
3j81Z	4.055
6gykM	4.055
5dukA	3.788
3bpxA	3.788
A0A1U7SYE2	0.02494
A0A087THY7	0.0233
A0A3Q3CQT0	0.0233
A0A7L2WGL3	0.01775
A0A2G9SGG8	0.01775
A0A6I9L2G5	0.01549
A0A7R9JXR7	0.01352
A0A091KI55	0.01352
A0A7L4KL68	0.01352
Q9V345	0.01263
A0A811X3F7	0.01263
A0A670KIU3	0.01263
A0A3B3DRY9	0.01263
D3TPN7	0.0118
Q4S252	0.0118
A0A7M7GT30	0.0118
A0A091MS17	0.0118
A0A2J8V4I2	0.01102
A0A171ANK1	0.01102
A0A834ETW4	0.0103
Q6P0H6	0.0103
A0A7R9CMT5	0.0103
A0A6J3CXV7	0.009618
A0A7L2GFK2	0.008985
A0A4W5KCH5	0.008985
A0A2I0UAM1	0.008985
A0A7R9ATH9	0.008985
A0A6V7IS45	0.007841
Q5R648	0.007841
A0A7E4RGB2	0.007841
H8ZQG4	0.007325
A0A4W6D215	0.007325
A0A5J5CU27	0.007325
A0A7J5YLS7	0.006843
A0A6P8SMN2	0.006843
A0A3P8VVD8	0.006843
A0A4C1XX71	0.006843
A0A6A4SYY0	0.006843
A0A7L3FCE7	0.006393
A0A0N8ESK2	0.006393
A0A4W3IAA2	0.005972
A0A673C9D2	0.005972
A0A423TV51	0.005972
A0A0P5SRQ1	0.005972
A0A1B0CTJ0	0.005972
K1R3V8	0.005972
A0A182F1W2	0.005972
V5H1G5	0.005972
V4CNP4	0.005579
A0A2P2LFU3	0.005579
