PDB_ID	bits
7upnI	9.391
4mjs_X	9.391
6rpqA	9.391
8qw7D	9.391
2jx5A	9.391
8wb0p	9.391
3hrdH	9.391
1ibxB	9.391
4y52B	9.391
8csjB	9.391
6gmqD	9.391
4macB	9.391
8csjC	9.391
3po2B	9.391
3ktbA	9.391
2r2oA	9.391
7r81H2	9.391
2v3pA	9.391
8citC	8.777
3cddE	8.777
6uz7AU	8.777
7bnmC	8.777
3tagA	8.777
4i9qB	8.777
5d0qA	8.777
1wjnA	8.777
6rmoP	8.777
4rb3C	8.777
4m8mA	8.777
1iueB	8.777
7oq4B	8.777
3tl5A	8.777
3q3mC	8.777
3hrgA	8.777
7kixA	8.203
6gmnD	8.203
4etsB	8.203
5sy4B	8.203
6o49B	8.203
4jghB	8.203
8oewQ	8.203
3w1sC	8.203
7a29C	8.203
4zlaA	8.203
4zlaE	8.203
2mukX	8.203
6wthA	8.203
4fjzA	8.203
7a5sA	8.203
8a95C	8.203
