PDB_ID	bits
3pxkA	9.704
6vg3C	9.704
1m6uA	9.704
7snrB	9.704
7snsD	9.704
7mjbB	9.159
6yvyA	9.159
6gfgA	9.159
4qw2A	9.159
6acaA	9.159
8c1vD	9.159
6yt6B	9.159
6gcwA	9.159
5ifdA	8.645
7snyA	8.645
4a4zA	8.159
4ovaC	8.159
1n27A	8.159
4l1uC	8.159
2m0oA	8.159
7n40B	7.701
6drdB	7.701
7vsxA	7.701
3a60A	7.268
1zq1B	7.268
5v2nA	7.268
2xalA	7.268
7undR	7.268
1rtiB	6.86
4v8mBZ	6.86
4nusA	6.86
2rnzA	6.86
3lvpD	6.86
3w3wA	6.86
4dowA	6.86
2xamB	6.474
2m02A	6.474
6g78B	6.111
2vc8A	6.111
7snxA	6.111
5fzyA	6.111
6y0cA	6.111
6if4A	5.767
3kmsA	5.767
5d9kA	5.443
3w3yA	5.443
6l8lA	5.443
7s7cA	5.443
2fb7A	5.443
2xarA	5.138
A0A1B1P6K6	5.66
A0A5V2QUQ1	5.66
A0A0P8PJ06	4.001
A0A6F8QKT0	2.244
A0A3V9NRQ4	1.999
A0A758AM51	1.887
A0A5S4UKD5	1.497
A0A3S0ZS28	1.497
A0A366I3F6	1.497
A0A6N9SIT2	1.413
A0A377YQ87	1.259
A0A376SDT8	1.188
A0A378UCQ4	1.121
A0A2S5KDC2	1.121
A0A822NIF4	1.058
A0A5U9SPQ9	1.058
A0A2V3SQ61	1.058
A0A5U0Q0V7	0.9428
A0A2T3BZ23	0.7926
A0A1I7K0U2	0.7926
A0A1B7K060	0.7481
A0A7U9IN01	0.7061
A0A328TVR8	0.7061
A0A5F1UIR0	0.7061
A0A0S1GNH4	0.7061
A0A1B7HIZ9	0.629
A0A6P1U9N0	0.629
A0A450S104	0.5936
A0A7V8TEE1	0.5603
A0A4R4EUL1	0.5603
A0A3B1B0N3	0.5288
A0A0A0D5L8	0.4991
A0A212BTN8	0.4991
A0A7W4Z7W6	0.4711
A0A2V3SJ82	0.4711
A0A5D4XEQ3	0.4446
A0A1N6NJN9	0.4446
A0A7Y5E4M2	0.4196
A0A095VJY4	0.4196
A0A7H1NRQ0	0.4196
A0A126T729	0.4196
K2JLX8	0.4196
A0A7U2K5F1	0.4196
A0A7W9YAL6	0.4196
A0A0J6QGL5	0.3961
A0A167JT56	0.3961
A0A5D4Y2E4	0.3961
B1EFQ6	0.3738
A0A849YX97	0.3738
A0A094JXE2	0.3738
