PDB_ID	bits
6wvjD	9.956
5iqrI	9.956
6pssJ	9.956
7v9sM	9.956
6po7B	9.956
5vv0A	9.956
8i17D	9.956
7r44d	9.956
4n0iF	9.956
4n0hF	9.956
6gzyB	9.304
1jeqA	9.304
6usjQ	9.304
7sczG	9.304
8byqc	8.694
3iceC	8.694
7uncg	8.124
4ribA	8.124
5y6aB	8.124
7kbeG	8.124
6yn1e	8.124
6l49C	7.592
4khaB	7.592
6potB	7.592
7d69G	7.592
3skqA	7.095
1kcfA	7.095
6gxpI	6.63
8ooaO	6.195
4ribB	5.789
6l9zQ	5.789
6ha7C	5.056
5n2uB	5.056
8i17G	4.724
4ricB	4.415
4qozE	3.146
4reaA	3.146
2do5A	3.146
4ricA	3.146
2kveA	3.146
4rebH	2.747
2rnoA	2.747
4l8rE	2.567
1v66A	2.399
4qozB	2.242
4recA	2.242
4ry3A	1.829
6ghdH	1.71
2kvdA	1.71
1zbuB	1.598
F8MIR3	9.507
A0A2G4SHG7	8.884
A0A7S1V0W3	8.302
A0A2D7ZFL6	7.758
A0A061SGY7	7.758
A0A3N4LK93	7.249
A0A1Y1IBD2	7.249
A0A0C4DYA6	7.249
A0A1Y5IJH6	6.774
A0A7S1ZMX3	6.774
A0A7S1DAZ3	6.774
A0A1L8DAR0	6.774
K0T2G8	6.331
A0A165ALJ2	6.331
A0A0S4JXA0	6.331
A0A166PFZ9	5.916
A0A448ZKQ4	5.916
A0A1E3IEK3	5.916
A0A7J4MD06	5.528
A0A3P8QPB2	5.528
A0A7S2K4A3	5.166
A0A485L7R7	5.166
L1JAD0	5.166
A0A0F9DEJ0	5.166
A0A3Q3X5M2	4.828
A0A7S2L0A8	4.828
A0A168KYW7	4.828
A0A7S1VR56	4.828
A0A166GV93	4.828
A0A822CTM7	4.828
A0A7J4N1E1	4.828
A0A815XWJ0	4.511
A0A5N3WKN8	4.511
A0A1E7FKC0	4.511
A0A7S3ZQJ8	4.511
A0A1V9ZW13	4.511
A0A818UN56	4.511
A0A2G8KSK3	4.511
A0A6F9B437	4.216
A0A7S2UET9	4.216
A0A1A9ZZZ5	4.216
A0A316YU89	4.216
A0A433CZD7	4.216
A0A401TNN1	4.216
A0A2D5QDY7	4.216
A0A401P5M4	4.216
A0A3N4HBG2	4.216
A0A2E5RDB3	3.939
A0A482WFR4	3.939
A0A2A3SYS7	3.939
