PDB_ID	bits
3hywA	9.62
2yf0A	9.62
6bioA	9.62
2dgyA	9.007
7qe7A	9.007
6j30L	9.007
6zxfj	8.433
5vgzE	8.433
8fgwC	7.895
8emvA	7.895
6biqC	7.392
5vfsB	7.392
5vhiE	6.921
1h4sB	6.921
5mp9I	6.921
3pe0A	6.921
5vhiA	6.921
4wfbA	6.48
6ftoC	6.067
4v7eCM	6.067
5xy3A	6.067
1wldA	5.68
4q66J	5.68
6cceC	5.318
7nykAAA	5.318
8pn8G	5.318
4in3A	5.318
1gl5A	5.318
8dy9C	4.98
5g05A	4.98
6h4dA	4.98
5tzs5	4.98
8adnV	4.98
6z1pAc	4.98
8btdLN	4.98
4v3pLN	4.662
5vhsA	4.662
1sltA	4.662
3ue1A	4.662
6asgC	4.662
4oonA	4.662
5n76F	4.365
7x76C	4.365
7sq2B	4.365
6cmzD	4.365
8urwC	4.365
7s5jA	4.365
6ybpI	4.365
3hyvA	4.087
4in3C	4.087
A0A1B6MRU8	9.656
A0A7R9F0I4	9.04
Q3UQY6	8.464
A0A6H5H5Y2	8.464
A0A0K8THW9	8.464
A0A1B6HRZ7	8.464
A0A7R9CN03	7.925
A0A2L2YQS0	7.42
A0A6V7J860	7.42
A0A7R9LS60	7.42
A0A3Q0IVI4	6.504
A0A6A0GS16	6.504
A0A182SWP8	6.504
Q8JFV5	6.504
A0A7S0QS53	6.504
A0A7R9H1L8	6.504
A0A087U5Q7	6.09
A0A7D9M4Z5	6.09
A0A7D9HZI0	5.702
A0A3Q3K7V4	5.702
A0A2S2N9S7	5.702
A0A1S3HF61	5.702
V5GZB3	5.339
A0A1I8GY00	5.339
A0A182SMX4	4.998
A0A147BDX7	4.998
Q9BVR0	4.68
S4NU65	4.68
A0A444TFJ6	4.68
A0A0B7BDJ7	4.68
A0A0S7L6P1	4.382
A0A0S7L6U6	4.382
A0A0S7L704	4.382
A0A0S7L6R7	4.382
B7P586	4.382
A0A1B6IEM8	4.382
G3PKS4	4.102
B7Z2K1	4.102
A0A0B7BEI0	4.102
A0A821Y7Q8	4.102
A0A131XT16	4.102
A0A0N4U4Z5	4.102
A0A1B0DIU1	4.102
A0A1S3IWG3	4.102
A0A0B1SA74	4.102
J9EAW2	4.102
A0A3P7IQC8	4.102
A0A7S0EGQ4	4.102
A0A6P8YB13	3.841
A0A7S4UG59	3.841
