PDB_ID	bits
8a4xC	9.807
5jdpA	9.807
7svlA	9.807
6um5A	9.24
3gtmB	9.24
6qfkA	7.726
7ll2E	7.726
8ae6Q	7.279
6qepA	6.858
5fz5B	6.858
6w1sL	6.858
7uqnA	5.09
7qi6AD	5.09
8cstD	4.517
7zw0sj	4.517
6szwA	4.01
2ebmA	3.353
7p2eD	3.159
4kbbA	2.976
5flwB	2.641
7lbmz	2.641
2dawA	2.488
6qnsA	1.74
7nqhAE	1.639
6gvwH	1.217
2yz0A	0.903
6r8fG	0.4686
7e2mC	0.4159
3zqsA	0.3087
2k07A	0.2908
2dayA	0.2432
8e22X	0.17
7zlx_J	0.09942
3p9gA	0.05159
3obxA	0.03399
3kpaC	0.03399
7nvkAAA	0.03399
7nvjAAA	0.03017
8c0dF	0.02523
7zlx_K	0.01662
7nw1AAA	0.01566
3r42A	0.001624
7bbdA	0.0005893
2qgxA	0.0005552
2hlwA	0.0003657
2c2vL	0.000227
6zm3DDD	0.0002138
6d6iD	0.0002015
3vonD	0.0001409
1jatB	9.279e-05
