PDB_ID	bits
3r6nB	6.92
7dniB	3.606
4gmdA	1.78
1n05A	0.9276
6gwmA	0.569
8eglL	0.266
4gvdA	0.192
4dwnB	0.1631
6n1iA	0.1464
2egkD	0.1001
6mksA	0.0648
2j41D	0.06138
8aaoB	0.05813
4qrhA	0.05506
2j41C	0.05506
2os6A	0.05215
2j41A	0.05215
6ak2A	0.03765
7ftaD	0.03377
7pe7I	0.03199
1znxA	0.03199
1z8fA	0.02718
8blvB	0.02718
7pecI	0.02438
2j41B	0.02309
6wctC	0.02187
8hckA	0.01667
7sqc1C	0.01416
6ak2B	0.01341
4z33B	0.01271
2dlsA	0.01271
8eglB	0.01203
2vz5A	0.01022
3tauB	0.01022
8eglK	0.008228
6x20A	0.006621
2omjA	0.006271
7u5fC	0.00594
7sqc1D	0.00594
1whdA	0.005626
3tr0A	0.005328
6x1xA	0.005047
6x22A	0.00478
7sqc1A	0.00478
8eglH	0.00478
4qrhC	0.003643
8eglJ	0.003451
5a2pB	0.003268
5f3xA	0.003095
6qjlB	0.00263
