PDB_ID	bits
6l8dA	9.549
6wjnE	9.549
7a08h	9.549
5cpjA	9.549
1p3iB	9.549
1p3iF	9.549
3kxbE	9.549
7xd1E	9.549
1p3aA	9.549
6zhxA	9.549
7yrdF	9.549
7xfnA	9.549
7ea8A	9.549
7pf0e	9.549
1iy1A	9.549
5vhqC	9.549
5vfqA	9.549
7unda	9.549
1jqjD	9.549
6ir9e	9.549
5ja4A	9.549
6kizH	9.549
7eg6A	9.549
6jmaE	9.549
2pyoE	9.549
6fq6H	9.549
8hqyH	9.549
5gseH	9.549
4ym6E	9.549
6t79E	9.549
7xfjA	9.549
4z5tA	9.549
1aoiA	9.549
5vhnF	9.549
3jcpM	9.549
6kw5V	9.549
6px3A	9.549
8g86A	9.549
5c3iS	9.549
8siyD	9.549
7xpxF	9.549
8gpnB	9.549
1vmeB	9.549
3azlF	9.549
6wz5F	9.549
3r45B	9.549
2nqbB	8.928
6om3B	8.928
3utbB	8.928
8oopN	8.928
A0A6P0J2P1	9.894
Q3B6C7	9.894
P73480	9.894
A0A3D1QYZ4	9.894
A0A7G8ITP6	9.894
A0A1B1TKU7	9.894
A0A7C3CY51	9.894
A0A3M0Z7T3	9.894
A0A0X8WX43	9.894
A0A0D6AP35	9.894
K7VZZ6	9.894
K9SUV3	9.894
A0A1L9QTW8	9.894
A0A6P0UFK8	9.894
A0A257FV15	9.251
A0A257PCR9	9.251
A0A3M1EM40	9.251
A0A2D6FHK4	9.251
A0A2J6X9V1	9.251
A0A352XET1	9.251
A0A7V0V7W6	9.251
A0A256WZJ0	9.251
A0A7V3UQB6	9.251
A0A5Q4E0J0	9.251
A0A520HPF4	9.251
A0A1I2AV47	9.251
A0A5K7ZIH9	9.251
A0A2V8IU60	8.65
A0A1F7PHW3	8.65
A0A1B7W821	8.65
A0A2W6ZMM9	8.65
K9X1W7	8.65
A0A2W1JHV7	8.65
A0A1J5GMK3	8.65
A0A202E1K9	8.088
A0A3B0UUD8	8.088
A0A1W9IQB9	8.088
A0A7C4EST9	8.088
A0A3M1HV47	8.088
A0A520GVQ9	8.088
A0A1G1HSE2	8.088
A0A2U3L9N1	8.088
A0A3B1B031	8.088
A0A7S6U3Z2	8.088
Q0I8P5	8.088
A0A0N0JL32	8.088
I4GRQ0	8.088
A0A661SUM1	8.088
A0A7G8F698	8.088
A0A522XA60	8.088
