PDB_ID	bits
4cyjA	1.934e-06
6cqhC	3.655e-08
6cjeA	2.445e-08
6cjwA	9.899e-09
8bzoA	6.623e-09
6cqeA	3.811e-09
2ac3A	3.624e-09
4af3A	2.55e-09
2ac5A	2.425e-09
6bx6A	1.886e-09
6eirB	1.886e-09
7ena8	1.794e-09
3dbfA	1.141e-09
3dj5A	1.032e-09
7ajyA	1.032e-09
6athA	9.336e-10
7aj8A	7.637e-10
7a4wA	6.568e-10
8bfmA	5.373e-10
5a3xA	5.373e-10
3cokB	4.179e-10
4d28A	3.78e-10
7dh9A	3.78e-10
4fgbA	2.94e-10
5a14A	2.94e-10
6dc0B	2.405e-10
5fd2B	2.287e-10
5a3xC	2.287e-10
6dc0A	1.967e-10
1f5qC	1.967e-10
4d2vA	1.871e-10
3d5vA	1.609e-10
8fjzF	1.53e-10
3f9nA	1.455e-10
3dlsE	1.316e-10
3dbeA	1.024e-10
4bciA	1.024e-10
4bbmA	9.736e-11
2c3jA	9.736e-11
5anjA	9.259e-11
3fxwA	8.806e-11
4ec9A	7.964e-11
3d5xA	7.574e-11
6eimA	7.203e-11
3dlsB	6.195e-11
4ftmA	5.891e-11
8cdwA	5.603e-11
5g6vA	5.603e-11
2gdoA	5.603e-11
4bcfA	5.603e-11
A0A3P9A710	0.0001031
A0A668U9M0	8.869e-05
A0A668U8X5	8.869e-05
Q68KJ7	7.629e-05
A0A668UB14	6.24e-05
A0A3P8ZNE3	3.97e-05
A0A671UQB3	3.591e-05
A0A668UV07	2.656e-05
A0A671UPJ4	1.315e-05
A0A671UQE3	1.023e-05
A0A5J5DQL2	5.323e-06
A0A6H5IQW2	5.062e-06
A0A3P8ZK78	5.062e-06
A0A0V1HK33	4.578e-06
A0A3P7XYI1	3.937e-06
A0A7L2FU50	2.913e-06
A0A0V1FVM5	2.77e-06
A0A671V1Y9	2.383e-06
A0A671UCW4	2.266e-06
A0A671UUP9	2.266e-06
A0A7L4L3I3	2.049e-06
A0A3Q3GG10	1.949e-06
A0A6H5IYU0	1.853e-06
A0A340TYR8	1.676e-06
Q307W2	1.594e-06
A0A3Q3H057	1.594e-06
A0A0V1HLE1	1.304e-06
A0A0N4X261	1.179e-06
A0A0V1HLT4	1.121e-06
A0A668UG73	1.014e-06
A0A671V1T3	9.173e-07
A0A668UF16	8.296e-07
A0A671V224	7.89e-07
A0A668UBS2	7.135e-07
A0A668UC96	7.135e-07
A0A183GUN0	6.453e-07
A0A3P7ZPS6	6.137e-07
A0A671V414	5.836e-07
A0A3P7X1L8	5.836e-07
A0A5J5DGI4	4.318e-07
U5Q957	3.714e-07
I1J8F7	3.532e-07
A0A411DW49	3.038e-07
A0A0N4WXV9	3.038e-07
A0A3P8ERZ3	2.889e-07
M3WXI7	2.889e-07
A0A1A8SMP7	2.747e-07
A0A453LI12	2.363e-07
A0A158QJS4	2.363e-07
A0A3P9A4R6	1.838e-07
