PDB_ID	bits
4ddqC	8.935
1qynC	8.935
7bi2A	7.998
4ddqB	6.773
4ddqF	6.062
4gn2A	5.735
4b9rA	4.595
6k7dA	4.113
5odnH	3.483
3tqyD	2.79
2ciuA	1.791
3eivA	0.8242
4r9iA	5.305e-14
2wxxC	9.004e-15
2wxxB	6.824e-15
5m3yA	4.38e-15
2wxwA	1.158e-15
2wxxA	9.279e-16
2wxxD	7.857e-16
6i3iA	6.653e-16
2x0bF	5.634e-16
2wxyC	4.27e-16
5m3xB	3.616e-16
2wy1B	3.421e-16
2wy1A	2.741e-16
2wy0C	2.593e-16
5m3xA	2.078e-16
6i3fA	1.575e-16
2wxzA	6.857e-17
2wxzC	3.156e-17
1atuA	2.087e-18
6hx4B	1.975e-18
5c98A	6.166e-19
5c98B	5.519e-19
1m93B	1.822e-19
8h55B	4.5570000000000006e-20
4au2C	3.859e-20
4ro9C	3.4540000000000004e-20
1kctA	3.4540000000000004e-20
8h55A	3.091e-20
2r9yA	2.0970000000000002e-20
2v95A	1.877e-20
4rsqA	1.59e-20
4rsqC	1.59e-20
4robC	1.504e-20
4rsqI	1.4230000000000002e-20
4ro9A	1.078e-20
4rsq_J	7.316e-21
4rsqH	5.246e-21
4rsqB	3.762e-21
A0A6P8NX60	0.001255
K4FRK3	0.001187
W5L9S7	0.0003318
A0A673FRR7	1.068e-05
A0A7R5KJE1	1.01e-05
A0A7N5P0K5	4.161e-06
A0A091CRW9	2.024e-06
V9KHW2	2.024e-06
A0A061I8M5	8.338e-07
A0A6G1S1L8	4.79e-07
A0A484DI42	3.435e-07
A0A3Q0H902	3.075e-07
A0A2D0SX15	1.339e-07
A0A5F8H4U1	9.6e-08
A0A803SRV4	6.884e-08
A0A3B8L8D1	6.884e-08
A0A7K4J8I7	6.884e-08
A0A1V4J4U0	6.884e-08
A0A663MAK5	3.742e-08
A0A7N5P375	3.54e-08
A0A0S8HG40	2.836e-08
C7QHC0	2.538e-08
A0A2I0MS53	2.538e-08
A7SKW8	2.15e-08
A0A5F9DSG1	2.034e-08
A0A1D1UL25	1.105e-08
U1MYQ6	1.105e-08
A0A7C1Z4X7	8.855e-09
A0A6J0CW62	8.855e-09
A0A2W4SC09	7.926e-09
A0A7V1M8X3	6.008e-09
A0A151EAX3	4.076e-09
C3YTM6	3.856e-09
A0A6J3AAJ3	3.648e-09
A0A6A8Q965	3.648e-09
A0A1G4A0Z7	2.341e-09
A0A3P9ITJ1	1.775e-09
A0A5F9DEH9	1.345e-09
A0A7L4RQC4	1.273e-09
A0A668AZZ2	1.078e-09
A0A060W372	7.728e-10
A0A1V4JWN7	7.728e-10
P05619	7.311e-10
A0A3Q3JFS8	6.544e-10
C3ZCG2	5.243e-10
A0A3P9PU29	3.183e-10
T1G692	2.16e-10
A0A7C5W5D1	1.73e-10
A0A091CNG6	1.549e-10
A0A1I6KKX8	1.241e-10
