PDB_ID	bits
7dl8A	9.671
5tvoA	9.671
6lxwA	9.671
7am0C	9.671
1yr0D	9.671
8fkwLA	9.078
6mnmA	9.078
6xq8A	9.078
6xq8B	9.078
3fzbG	9.078
2jlmB	9.078
3n9vA	8.522
6ueaA	8.522
7wrsB	8.522
5hxlA	8.522
1s4dG	8.522
6qzlC	8.0
7am0A	8.0
6znbAA	8.0
8fkrLA	8.0
4zziA	7.51
5tvmE	7.51
6m8sA	7.51
3h9sD	7.51
4pzuB	7.049
7s65F	7.049
1pdfB	7.049
2g88A	7.049
4n18A	7.049
7nduDDD	6.618
8agbE	6.618
8fkvLA	6.618
4yh6B	6.618
8euyP	6.212
6g57D	5.831
6ueaL	5.831
7kznO	5.831
7ttzB	5.831
5tvmD	5.474
3d4oA	5.474
3m88B	5.139
6bm7F	4.824
1xahB	4.528
6ue7A	4.528
5v72B	4.251
5vviC	3.99
8eupP	3.99
5vg6B	3.99
1xahA	3.746
2zpaB	3.516
