PDB_ID	bits
5npgA	9.974
2aviA	9.974
4lmiA	9.974
4r9lC	9.974
4j9aF	9.974
3dwrA	9.974
4p05A	9.974
6e8aA	9.974
3hk4D	9.974
5jqpA	9.454
2k54A	9.454
5dkxA	9.454
7epnB	8.96
4cdlA	8.96
6ymnAAA	8.96
6bydA	8.96
4kvhA	8.493
3ejoB	8.493
6h1pA	8.493
6zjvA	8.493
1d1jB	8.493
3dxoA	8.493
6hnmA	8.049
5dkyA	8.049
6tzdA	8.049
7tmoC	8.049
2bngC	8.049
4j9aA	7.629
3oseA	7.629
5jbsC	7.629
6le0D	7.231
1dmqA	7.231
4gjtA	7.231
3dm8A	6.854
1e3rA	6.854
6w40B	6.854
1cewI	6.854
6i3vB	6.854
7rxkB	6.854
3e99A	6.854
6u9iA	6.854
3iptD	6.854
6k8qA	6.496
7tbiQ1	6.496
5muzA	6.496
1opyA	6.496
8bfnG	6.496
6k7eA	6.496
6e8aB	6.157
5if6F	6.157
G5LU73	9.847e-05
A0A0J8YW81	8.384e-05
A0A2X3K442	3.752e-05
A0A077ZFB4	1.869e-05
A0A1C3Z4C4	7.925e-06
A0A2X3D9E3	5.745e-06
E0F5C8	5.745e-06
A0A2N4Z387	4.637e-06
A0A4R2NCN6	2.862e-06
A0A1V3TR32	1.966e-06
A0A0A2Y0G9	1.674e-06
A0A1V3GZ65	1.426e-06
P45028	1.351e-06
A0A4V2L078	1.281e-06
A0A4R1KZ50	5.73e-07
C4LCY7	5.148e-07
D0X214	3.177e-07
N9U3B4	2.43e-07
A0A233RCW9	1.859e-07
A0A1E3XK99	1.859e-07
A0A1Y5H067	1.762e-07
A0A349FAP3	1.583e-07
A0A2N7JWD8	1.422e-07
A0A853QUM9	1.147e-07
A0A2S7UTF4	1.031e-07
A0A411PMP6	8.776e-08
A0A084CM38	8.318e-08
A0A0U2Z3B1	7.884e-08
A0A4P6P579	7.884e-08
A0A2S2E5M2	7.472e-08
A0A1T0AYI6	7.472e-08
A0A220VC78	7.082e-08
A0A1N6T430	6.713e-08
A0A2D6RFV6	6.713e-08
A0A1E5ISQ8	6.713e-08
A0A1M5Y1W4	5.715e-08
A0A4R2FLQ3	5.715e-08
A0A1C3ELL7	4.612e-08
Q0I3X6	4.372e-08
A0A5B8R1M2	4.372e-08
A0A346NS75	4.143e-08
A0A502L6W8	3.927e-08
A0A1V0KY01	3.722e-08
A0A2N0WQ96	3.004e-08
A0A1Y5E0A8	3.004e-08
A0A7W4B111	3.004e-08
A0A1I0FUH5	2.847e-08
A0A6H1UHU3	2.698e-08
A0A291B9V6	2.424e-08
A0A2A4QMR7	2.297e-08
