PDB_ID	bits
4aaaA	4.01e-10
1h4lB	3.584e-10
3lq5A	3.389e-10
3kudB	2.288e-10
4imyA	2.163e-10
5l1zA	1.381e-10
6fdyU	1.234e-10
7l26D	9.864e-11
3a60A	9.326e-11
3kl8A	8.336e-11
3iw4B	7.451e-11
5dykA	7.045e-11
6ilzG	6.66e-11
8em8A	6.297e-11
5ezrA	5.031e-11
7enc8	5.031e-11
4ec9A	4.497e-11
3f9nA	4.252e-11
5otfA	3.212e-11
4af3A	2.714e-11
4g3xB	2.566e-11
5f0aA	2.426e-11
1f5qC	2.294e-11
3nupA	1.833e-11
4bbmA	1.833e-11
7egb8	1.733e-11
2hakH	1.465e-11
3kucB	1.309e-11
4bcfA	1.17e-11
3kl8G	9.349e-12
3kl8C	8.357e-12
3o0gA	6.677e-12
7nwkA	6.313e-12
4mvfA	5.969e-12
3kl8E	5.335e-12
2iw9A	5.335e-12
5li9A	4.769e-12
6i2yB	4.769e-12
2j7tA	4.769e-12
6ng0A	4.509e-12
3nizA	4.263e-12
4ftrA	4.263e-12
6c2tA	3.81e-12
8guwC	3.406e-12
7nzyB	3.406e-12
3bhhC	2.878e-12
7n93A	2.878e-12
4b8mB	2.721e-12
4bgqA	2.721e-12
2c3jA	2.573e-12
A0A671V3M3	4.577e-05
A0A671V3X6	2.334e-05
A0A668UPK5	1.667e-05
A0A668UKJ1	1.259e-05
A0A671V0Y5	9.514e-06
A0A0V0GAM4	7.602e-06
A0A6H5ISK4	6.424e-06
A0A0V1AWZ1	1.58e-06
A0A1W0WUM9	7.205e-07
A0A085N8V1	4.865e-07
A0A1W0WUP3	4.112e-07
A0A819I781	2.482e-07
A0A453LVE0	2.097e-07
I1J8F7	1.772e-07
T0PXG5	1.584e-07
A0A819P6I7	1.498e-07
A0A671V224	1.339e-07
A0A453LV51	1.197e-07
A0A668UG73	1.07e-07
A0A150GRR6	9.041e-08
A0A671V1T3	8.548e-08
A0A453LVB5	8.548e-08
A0A668UBS2	8.082e-08
A0A668UC96	6.83e-08
A0A671UQE3	6.83e-08
A0A453LI12	5.457e-08
A0A671UPJ4	3.114e-08
A0A668UF16	1.88e-08
A0A3P8ZK78	1.777e-08
A0A2V6NVA2	1.588e-08
A0A671V1Y9	1.42e-08
A0A671UUP9	1.42e-08
A0A521SJU3	1.073e-08
A0A286UAX7	1.014e-08
A0A6P3Q9Q4	9.587e-09
A0A5J5DQL2	6.121e-09
A0A0V1HLT4	5.787e-09
A0A6H5IQW2	5.471e-09
T0QI04	5.471e-09
A0A849WHM6	5.173e-09
A0A3P8ZNE3	4.371e-09
A0A671UCW4	4.133e-09
A0A1L8D453	3.907e-09
T0QA91	3.694e-09
A0A085N7T2	3.493e-09
A0A1H7FJL9	3.122e-09
A0A433AEQ3	2.952e-09
A0A353BC76	2.638e-09
D9SFB2	2.23e-09
A0A849WJQ0	1.993e-09
