PDB_ID	bits
4cyjA	6.739e-07
5m06A	6.715e-10
5m07A	5.07e-10
5m06B	3.421e-10
5ap1A	1.743e-10
7bjmA	2.061e-11
2c3jA	1.646e-11
6gvjA	9.927e-12
2brhA	9.385e-12
7cbxA	8.872e-12
6bg2B	8.872e-12
6gzhA	7.495e-12
7lv3A	3.819e-12
2brmA	2.884e-12
4apcA	2.177e-12
3f5xA	2.177e-12
3gniB	6.691e-13
6b2eA	5.344e-13
4lynA	4.268e-13
2acxA	3.409e-13
3comA	3.223e-13
4lg4E	1.837e-13
6e4tA	1.642e-13
7enc8	1.552e-13
3cohB	1.387e-13
3h0zA	1.312e-13
6gu7G	9.362e-14
6cpgA	8.367e-14
6gu6A	8.367e-14
5kq5A	7.478e-14
5kkrB	6.318e-14
2j7tA	5.646e-14
7jv1D	4.77e-14
7atuC	4.263e-14
7jv0A	3.81e-14
4dhfB	3.602e-14
6bdnA	2.72e-14
7juwB	2.054e-14
5d9kA	1.941e-14
4fr4A	1.551e-14
4eqmC	1.386e-14
5d9kB	1.046e-14
7juzA	7.9e-15
7jusB	1.939e-15
8b8nA	1.308e-15
6hxfB	1.308e-15
6bssA	1.169e-15
8atnAAA	1.045e-15
8c0aB	9.34e-16
8b9eA	3.397e-16
A0A6P7LJC5	0.0001617
A0A0V1FVM5	0.0001529
A0A671UQE3	3.969e-05
A0A085NED2	2.997e-05
A0A668U9M0	1.527e-05
R9W822	5.553e-06
A0A7L2FU50	2.83e-06
A0A3M0L3H2	6.565e-07
A0A1A8SMP7	3.538e-07
A0A315VXE2	3.162e-07
A0A668U8X5	1.704e-07
A0A819JWL0	1.704e-07
A0A672TFU6	1.523e-07
A0A093QNA0	1.361e-07
Q307W2	1.15e-07
A0A315VVJ3	1.087e-07
A0A067QR32	9.717e-08
A0A2L2Y6C4	9.186e-08
A0A315VTF3	9.186e-08
A0A3M0KJ06	7.337e-08
A0A671UQB3	6.557e-08
A0A3P8ZNE3	5.86e-08
A0A1W0WCF3	4.951e-08
A0A315VWE8	4.951e-08
A0A085N6C9	4.681e-08
A0A7G3AW55	4.183e-08
A0A6P3Q7V7	3.954e-08
A0A6P4JBT3	3.158e-08
A0A0V1HQC5	2.823e-08
A0A7L4L3I3	2.669e-08
A0A668UV07	2.385e-08
A0A4Y2H0H5	2.255e-08
A0A7K8U4Q3	2.131e-08
A0A0V0GB93	2.015e-08
A0A671UPJ4	1.609e-08
A0A411DW49	1.285e-08
A0A3Q7S5N5	1.215e-08
A0A671V1Y9	9.175e-09
A0A7K9XMB1	8.674e-09
A0A3P7X1L8	7.752e-09
A0A0V1HLT4	7.752e-09
A0A067QVQ7	5.853e-09
A0A6P3Q9Q4	4.675e-09
A0A671V414	4.675e-09
A0A3P8ZK78	3.337e-09
A0A0V1HLE1	3.155e-09
A0A067R012	3.155e-09
A0A668UBS2	2.665e-09
A0A4Z2DTB2	2.665e-09
A0A340TYR8	2.52e-09
