PDB_ID	bits
6ahuK	9.476
6kw5X	9.476
7uqxB	9.476
7z8qc	9.476
8glvGz	8.88
4kbjA	8.88
7ung5	8.88
6tygC	8.88
5wu5C	8.88
6imfB	8.88
7yx7A	8.88
7ol0I	8.88
3s25A	8.88
4cy6C	8.88
5xonI	8.88
5cj0A	8.88
4cy6A	8.88
4cy6B	8.88
4s37G	8.88
3o46A	8.322
6f6wC	8.322
8otzAV	7.799
8he5I	7.799
7wbwI	7.799
3wwnB	7.799
6kxnB	7.799
1xx9C	7.799
6uq0I	7.799
7a3dA	7.799
8bbfA	7.309
7uqyB	7.309
2ra2B	7.309
7eu1I	7.309
6kxlB	7.309
7a3bA	7.309
1txdA	7.309
6tsbAAA	6.849
3iz3C	6.849
7wt6A	6.849
4y92A	6.849
3jayC	6.849
7yl4B	6.849
3t2nB	6.419
5iybI	6.419
8hyjI	6.419
4a9uA	6.419
5cj0B	6.419
3jazC	6.419
5iycI	6.015
1k0rB	6.015
