PDB_ID	bits
4cyjA	6.739e-07
5m06A	6.715e-10
5m07A	5.07e-10
5m06B	3.421e-10
5ap1A	1.743e-10
7bjmA	2.061e-11
2c3jA	1.646e-11
6gvjA	9.927e-12
2brhA	9.385e-12
7cbxA	8.872e-12
6bg2B	8.872e-12
6gzhA	7.495e-12
7lv3A	3.819e-12
2brmA	2.884e-12
4apcA	2.177e-12
3f5xA	2.177e-12
3gniB	6.691e-13
6b2eA	5.344e-13
4lynA	4.268e-13
2acxA	3.409e-13
3comA	3.223e-13
4lg4E	1.837e-13
6e4tA	1.642e-13
7enc8	1.552e-13
3cohB	1.387e-13
3h0zA	1.312e-13
6gu7G	9.362e-14
6cpgA	8.367e-14
6gu6A	8.367e-14
5kq5A	7.478e-14
5kkrB	6.318e-14
2j7tA	5.646e-14
7jv1D	4.77e-14
7atuC	4.263e-14
7jv0A	3.81e-14
4dhfB	3.602e-14
6bdnA	2.72e-14
7juwB	2.054e-14
5d9kA	1.941e-14
4fr4A	1.551e-14
4eqmC	1.386e-14
5d9kB	1.046e-14
7juzA	7.9e-15
7jusB	1.939e-15
8b8nA	1.308e-15
6hxfB	1.308e-15
6bssA	1.169e-15
8atnAAA	1.045e-15
8c0aB	9.34e-16
8b9eA	3.397e-16
