PDB_ID	bits
6gz5Ct	0.3572
4amoA	0.3572
7akcA	0.3352
5garN	0.2954
4v8wD	0.2602
8g4uB	0.2442
4ro5A	0.2442
4rpmA	0.2442
5ydaA	0.2293
7ahbB	0.2293
8cehAa	0.202
2n2tA	0.1779
7s6dB	0.167
1wdtA	0.1472
7s6dA	0.1381
4rl1A	0.1381
6nukA	0.1296
5bp1A	0.1217
6lpiE	0.1142
3ptwA	0.1142
7lmxA	0.1142
7agsA	0.1142
7ahbA	0.1072
4nezA	0.1072
7s6bB	0.1072
5vdfH	0.1006
6wxoA	0.09445
6wxoB	0.09445
3rrkA	0.08866
7s6cB	0.08321
6iytB	0.07811
8g4uA	0.07811
7s6bA	0.07811
6wxpD	0.07331
7uwrB	0.06881
4rwxB	0.06459
6zv9A	0.06063
6iyrA	0.05691
7veeA	0.05691
8czcB	0.05013
8g4uC	0.05013
5czcA	0.05013
7s6cA	0.04417
3tzyA	0.04146
6iytA	0.03653
8h6sB	0.03021
7vt1B	0.02835
8g4uD	0.02835
5czdA	0.02498
7vt1A	0.02498
G3VPE0	8.525
A0A4X2K459	8.002
A0A6J1W2T8	6.211
A0A5N3V6V9	5.83
A0A091JX95	5.472
A0A402FSN8	5.136
A0A7K8W2S6	5.136
A0A226MRZ1	4.821
A0A094K6V2	4.821
A0A2F0AW77	4.525
A0A6J2BF46	4.247
A0A2P4TA85	4.247
A0A2U3VS14	3.986
A0A2I0LX91	3.742
A0A6I9Z263	3.742
Q4QXK9	3.512
G1SS65	3.512
A0A674H9W9	3.512
P09954	3.512
A0A4D9DTC0	3.512
L8I2A8	3.297
A0A7L3MLG5	3.297
A0A091M7T1	3.094
H9GTQ0	3.094
A0A1V4JW47	3.094
A0A7K4RFG9	3.094
A0A1V4JWC4	3.094
A0A835NF37	2.904
A0A6P5LNC7	2.904
A0A7L1E9G2	2.904
A0A3L8RVI7	2.904
A0EZX9	2.726
A0A6P5LII9	2.559
A0A6J2MQG3	2.559
R0KF68	2.559
A0A7L1BTE5	2.559
A0A7L4HF36	2.402
A0A7K7RFU5	2.402
A0A662YRA8	2.254
A0A3M0IKV2	2.116
A0A2I0LXA2	2.116
A0A6I9WWJ0	2.116
A0A3L8RVP5	2.116
A0A2J8QTB4	2.116
A0A7L0W8P4	1.986
E1C2B2	1.986
A0A493THQ2	1.986
A0A6P5LI29	1.864
A0A3Q7TZS9	1.864
A0A452TW80	1.75
