PDB_ID	bits
5hsoD	9.195
5clvE	8.653
5clvF	8.144
3hseB	7.664
4yg1B	6.387
1serA	5.009
5clvM	4.714
7aihK	0.3461
6yxyAU	0.2555
2ftcL	0.116
3j9wBT	0.07582
7pirp	0.07135
4v61BS	0.06714
3j3wQ	0.06319
3j3vQ	0.05946
7phcp	0.05596
7saeQ	0.03887
6ha8Q	0.03049
7aqcQ	0.027
4v5hBQ	0.02541
4v77BQ	0.0225
6z1pAu	0.02118
6pvkQ	0.01765
6tpqj	0.01765
4v6oBS	0.01765
5njtj	0.01661
7oi6R	0.01471
6zseXR	0.01471
8fn2S	0.01303
4v50DQ	0.01154
6ppfQ	0.01154
2zjqN	0.009615
4v73BQ	0.009048
4v4xBT	0.008515
4ce4U	0.007541
4v4rBU	0.007097
2j28Q	0.007097
6o90R	0.007097
5myjBT	0.006678
3dllN	0.006678
6xywAq	0.005566
4v52BQ	0.005238
7pkto	0.005238
5nd9T	0.004929
7jilQ	0.004639
4v6nAS	0.004639
6n1dAL20	0.004365
4v5eBU	0.004108
4v48AO	0.004108
8apoAo	0.003866
