PDB_ID	bits
1x8vA	9.801
3gbvB	8.717
1ea1A	7.312
3o77A	6.895
3hskB	6.503
1ky5B	5.144
3gbvA	2.863
4a0gC	0.008155
4a0rB	0.002526
4a0rA	0.002526
4a0fB	0.002382
1c4kA	0.001998
4a0hB	0.001112
4a0fA	0.0008294
4a0hA	0.0006561
6q6iA	0.0006561
1g4vA	0.0006187
4j8lA	0.0005835
4a0gA	0.0005503
5torB	0.0005503
3mebB	0.0003651
4a0gB	0.0003062
5tonA	0.0002284
1yaaC	0.0001704
5tonB	0.0001516
3uakB	0.0001429
4a0gD	7.955e-05
7cwxB	7.955e-05
5hsjA	5.278e-05
7qygA	4.694e-05
1ohvC	3.937e-05
1ordA	3.713e-05
4eu1B	3.302e-05
2r0tB	2.77e-05
8bobB	2.77e-05
4w5kB	2.463e-05
6w80A	2.463e-05
5ax8D	2.323e-05
2x5fB	1.733e-05
2gmsB	1.634e-05
5hsjB	1.541e-05
2zy5F	1.454e-05
6dvsA	1.371e-05
3k28C	1.371e-05
1aseA	1.371e-05
5wmhF	1.293e-05
5ll2A	1.15e-05
6k8hA	9.645e-06
6ezlB	9.096e-06
5xx1E	9.096e-06
