PDB_ID	bits
6lqsA5	9.61
6kbwB	9.61
7diaA	9.61
8p5dSCC	9.61
8qpcAA	9.61
4bujD	9.61
8c5yB	9.61
8q7iA	9.61
6brsA	9.61
5yd8Z	9.61
1gwzA	9.61
1z26A	9.61
7d5tA5	9.61
6lqtA5	9.61
3vzaD	9.61
3p0cB	9.61
3d7qB	9.61
3hphA	9.61
3eihC	9.61
4jb9H	9.61
7rd5D	9.61
1vjlA	9.009
6yxuD	9.009
7q0fAP	9.009
8oo7D	9.009
7m5nB	9.009
4cs5C	9.009
6wacA	9.009
6p5kAk	9.009
6nd4L	9.009
1yedB	9.009
6dl8A	9.009
5t9dA	9.009
7tidG	9.009
4bwgL	9.009
8q2mAA	9.009
2ve7D	8.445
6xu6Ck	8.445
4l5gB	8.445
1wtxA	8.445
4tm4B	8.445
4fltA	8.445
3nybA	8.445
8etuU	8.445
7qo1F	8.445
2zvwE	8.445
4flvA	8.445
1oxuC	8.445
7tbiV1	8.445
6if4A	8.445
A0A1J3JHE5	9.958
A0A6P5RK27	9.958
A0A1J3HPZ5	9.958
A0A6J0KUM8	9.958
M5VMP6	9.958
A0A0A0K634	9.958
A0A6M2F3H7	9.958
A0A3N7EYB4	9.958
A0A834YDE1	9.958
A0A6J1EP65	9.958
A0A1D1ZL07	9.958
A0A6N2ASI3	9.958
V7ADE1	9.958
A0A059AQB0	9.958
A0A484N3N3	9.958
A0A484M6G2	9.958
A0A7J9J6S0	9.958
A0A2Z7DAL5	9.958
A0A022QSH5	9.958
A0A836IRS4	9.958
A0A834T1Q9	9.958
A0A199W5J1	9.958
A0A1D6JMT9	9.958
D8T2U0	9.958
R7QSX9	9.335
R7Q5S0	9.335
A0A024G4U2	9.335
A0A1Y1IIA2	9.335
S8C2S1	9.335
A0A4Y7K4M1	9.335
D2VFG4	9.335
A0A388KIT0	9.335
A0A7S3UAA9	9.335
A0A2P6TMH5	9.335
A0A1I8AGP2	9.335
A9SYD6	9.335
A0A2A2KSJ7	9.335
A0A0N5CB68	8.75
A0A7S0IY77	8.75
A0A8B6EBT1	8.75
A0A397T7A6	8.75
F0VYQ4	8.75
A0A453J3B3	8.75
A0A484DL61	8.75
W2HH58	8.75
A0A2P6UZR5	8.75
A0A816ECE8	8.75
A0A2K6UFE1	8.203
A0A814B3I4	8.203
A0A087SKP8	8.203
