PDB_ID	bits
6l8dA	9.549
6wjnE	9.549
7a08h	9.549
5cpjA	9.549
1p3iB	9.549
1p3iF	9.549
3kxbE	9.549
7xd1E	9.549
1p3aA	9.549
6zhxA	9.549
7yrdF	9.549
7xfnA	9.549
7ea8A	9.549
7pf0e	9.549
1iy1A	9.549
5vhqC	9.549
5vfqA	9.549
7unda	9.549
1jqjD	9.549
6ir9e	9.549
5ja4A	9.549
6kizH	9.549
7eg6A	9.549
6jmaE	9.549
2pyoE	9.549
6fq6H	9.549
8hqyH	9.549
5gseH	9.549
4ym6E	9.549
6t79E	9.549
7xfjA	9.549
4z5tA	9.549
1aoiA	9.549
5vhnF	9.549
3jcpM	9.549
6kw5V	9.549
6px3A	9.549
8g86A	9.549
5c3iS	9.549
8siyD	9.549
7xpxF	9.549
8gpnB	9.549
1vmeB	9.549
3azlF	9.549
6wz5F	9.549
3r45B	9.549
2nqbB	8.928
6om3B	8.928
3utbB	8.928
8oopN	8.928
