PDB_ID	bits
4j7qA	9.612
4yxzA	9.612
7oa5A	9.012
1etoA	9.012
2dnaA	9.012
1auaA	9.012
6h3aD	9.012
1vdlA	9.012
3fuuA	9.012
2damA	9.012
3glfE	8.448
6c9dA	7.92
8c3wA	7.92
7x7pB	7.425
6sldA	7.425
5eakA	7.425
4g3oA	7.425
1ixrB	7.425
1etkB	6.961
2ejsA	6.961
7oa5D	6.526
2muuA	6.526
2lvaA	6.118
7t8jA	6.118
8f53A	6.118
1etqC	5.736
2jp7A	5.736
3fiaA	5.377
1f36B	5.377
2di0A	5.377
1a5tA	4.726
7uykB	4.726
7tcyA	4.726
3bq3A	4.726
2h5xB	4.726
3b0fB	4.431
5x0wG	3.651
2dagA	3.651
2cp9A	3.651
2cp8A	3.423
2jujA	3.423
2dzlA	3.209
2dklA	3.209
2qsfX	3.209
1vegA	3.209
1ufzA	3.209
2dhyA	3.008
1tr8A	2.82
1wj7A	2.324
4un2B	2.179
