PDB_ID	bits
5innC	9.682
3rd6B	9.682
4r1mB	9.682
8cdlg	9.682
3ggnA	9.682
5y4gB	9.078
4v6uAC	9.078
8p1xAAA	8.511
8graC	8.511
5w40C	8.511
4o3xB	7.98
5nqxE	7.98
5nqxB	7.482
4ayeF	7.482
7uaiA	7.482
4o4uB	7.016
5y7cB	7.016
4jmdB	7.016
4o4xB	7.016
4x7rA	6.578
5nqxD	6.578
6ha2A	6.167
6jcoB	6.167
4o4uC	6.167
7r7fA	6.167
4rvnD	5.422
6xzwD	5.422
5ynwA	5.084
6venM	5.084
5ynvB	4.766
4aydF	4.766
6qbfA	4.766
7r7eB	4.19
6q9zA	4.19
5ynwB	4.19
3ffnB	4.19
4o4uD	3.929
6gp6B	3.929
5yntA	3.929
6h1fB	3.684
5y7cA	3.684
6qw3A	3.684
4ee6B	3.684
2gjtB	3.684
5ay6B	3.684
1d0nA	3.684
5w3yC	3.684
4av8A	3.454
6jehA	3.454
6q9zB	3.454
A0A4R6U9Q8	0.01413
E4WMD0	0.01092
A0A838IS80	0.006954
A0A7Y5FGI5	0.006521
A0A095D791	0.006521
A0A1H0EQK5	0.006114
A0A3D0P555	0.005732
W6TWC0	0.003652
A0A257YML6	0.00321
A0A2Z4G8R5	0.00301
A0A6J4SJ93	0.002326
A0A1M5YSP0	0.002326
A0A7Y2HG44	0.002181
A0A353B9M1	0.001917
A0A0C1QW84	0.001686
A0A660PAF9	0.001482
A0A7V6FEZ7	0.001303
A0A838J2M3	0.001074
A0A136LYX3	0.001007
A0A6S4ZUL3	0.000944
A0A077MGK4	0.0008299
A0A7C7UVD5	0.0007781
A0A2T3NAT8	0.0007781
A0A3N4W4K3	0.0007296
A0A1U9JQ49	0.0007296
A0A840VEN6	0.000684
A0A6J4PEQ1	0.0006414
A0A2E0ART9	0.0006414
A0A839AE52	0.0006014
A0A7G9R8B3	0.0006014
A0A0Q9LPU6	0.0005638
D2PLL1	0.0005638
A0A1G1CE38	0.0005287
A0A2E7XFI4	0.0005287
A0A854FBC7	0.0004957
A0A4U0EVR9	0.0004957
A0A1S6H536	0.0004648
A0A1G9IU93	0.0004648
A0A7W1JVB3	0.0004648
Q9HZ97	0.0004648
A0A1B2E8X8	0.0004358
A0A537R815	0.0004358
A0A1I4EIA3	0.0004086
A0A1M6JXD1	0.0003831
A0A6J4S2Q8	0.0003831
A0A1Q7D4U4	0.0003831
A0A559IV49	0.0003368
A0A847FHW5	0.0003368
A0A849M873	0.0003158
A0A090ED05	0.0002961
