PDB_ID	bits
2otbB	9.477
6xwyD	8.997
2ye1A	8.997
1cv7A	8.541
6oyhC	8.541
5ebjA	8.541
1rm9A	8.541
4ncbA	8.108
2b3qA	8.108
2vzxC	7.698
6qsoA	7.698
4ncaA	7.698
4h3mA	7.698
3cglE	7.698
4tzaC	7.308
3ed8E	6.937
4w6rC	6.586
3wckF	6.252
5gq9B	6.252
4z4kB	5.936
7ugsA	5.936
1yhgB	5.936
6oyhD	5.936
4ncbB	5.936
8a83A	5.936
7a7rA	5.635
8i4kA	5.635
5j3nB	5.635
6oyhB	5.635
6wvfA	5.635
6lr7A	5.635
6wv5A	5.35
4n47A	5.35
3pf1B	5.079
5y01A	5.079
4ncaB	5.079
4rywC	5.079
7x2bA	4.821
4xowA	4.821
3ed8B	4.821
3ed8A	4.821
6mdra	4.577
1qxtA	4.577
2g2sB	4.577
6aa6B	4.345
4kexA	4.345
3hvrA	4.345
4n76B	4.345
5j2oA	4.345
4ogsB	4.125
A0A2V5L0Y2	9.985
A0A2S5ITA9	9.985
A0A2V5KY26	9.985
A0A2V5JIZ5	9.985
W8C595	9.985
A0A1Y1MEQ5	9.985
A0A1Y1KXM6	9.985
A0A0K8UJQ1	9.985
A0A7K3LK83	9.985
A0A6G0YEG7	9.985
X1X8K2	9.985
V6TDD7	9.985
Q8T6S3	9.48
V6TUB0	9.48
V6T9G1	9.48
E1F9M8	9.48
V6TMF8	9.48
A0A2R7VQC2	9.48
E1F9I3	9.48
V6TGI7	9.48
V6T9G8	9.48
A8BUT6	9.48
E1F4C1	9.48
V6TD37	9.48
A0A448WIT0	8.999
V6TTU6	8.999
A0A7C1PI79	8.999
V6U279	8.999
A0A4Y2WR30	8.999
A0A7C4VYI9	8.544
V6TL24	8.544
A0A8B4X895	8.544
A0A098LHZ7	8.544
A0A1Q9JTB8	8.544
A0A6M3XQI4	8.111
A0A7X7KQC3	8.111
A0A1P8S026	8.111
A0A4R5AUQ1	8.111
A0A1B9YEN4	8.111
X0XR73	8.111
A0A662JK41	8.111
A0A3C1SJV0	8.111
A0A0L7QJG8	8.111
A0A842LX71	8.111
A0A0S8IIH0	7.7
A0A6S7IGB2	7.7
A0A1J8Q341	7.7
A0A2E2K270	7.7
A0A2T2TLD3	7.7
A0A450V026	7.7
