PDB_ID	bits
5esvF	0.004453
6vlwG	1.976e-06
6dfgB	1.432e-06
6p8nC	1.283e-07
8sb0L	8.815e-08
5fcuG	7.113e-08
7l8dE	6.39e-08
4jpkA	5.74e-08
8salJ	3.738e-08
7tfoX	3.358e-08
6u0lZ	3.358e-08
7lokD	3.358e-08
4jpjA	3.358e-08
8sasL	3.017e-08
6u0nZ	2.568e-08
8sayL	2.568e-08
5jsaD	2.434e-08
8fyjD	2.434e-08
6orpF	2.187e-08
7lo6F	2.187e-08
5kzcA	2.073e-08
6eduC	1.862e-08
7ly9J	1.673e-08
8salF	1.673e-08
7tfnY	1.585e-08
7z3aE	1.585e-08
5if0G	1.502e-08
5iesC	1.502e-08
8sb1B	1.212e-08
7tfnZ	1.149e-08
6ozcB	1.032e-08
6u0lY	1.032e-08
7txdF	1.032e-08
7ugpF	9.785e-09
7ly9F	9.274e-09
6vpxF	8.79e-09
6vrwB	8.331e-09
6cm3A	7.896e-09
7lo6B	7.484e-09
7t9tB	7.093e-09
7tcnB	6.372e-09
6xrtC	5.724e-09
6x97B	5.425e-09
7lo6D	4.619e-09
8sarB	4.619e-09
6vo3B	3.933e-09
6vttB	3.933e-09
7t76D	3.728e-09
6u0lX	3.533e-09
6marF	3.533e-09
A0A0B7C4R1	9.514
A0A3R6DIX5	9.018
D4KYG4	7.678
B7AMV6	6.537
A0A3E4LWS7	5.275
A0A417UKM0	4.491
J3P1Y6	4.491
A0A413B328	3.824
A0A1G5G1J9	3.824
A0A3R6LCL7	3.824
A0A7T9JSA7	2.49
A0A6N7MDI4	1.381
