PDB_ID	bits
1wpkA	9.348
6zmwe	9.348
6vw7A	9.348
7zm7H	9.348
7q4wG	9.348
2vc1B	9.348
2p7vB	9.348
7aavL	9.348
2z99A	9.348
2m2eA	8.738
1oaiA	8.738
1zarA	8.738
7epkA	8.738
8oh5A	8.738
5ffxA	8.738
3tgnA	8.738
8c0dB	8.738
6onoD	8.738
2xcsB	8.738
8igsL	8.738
1etqD	8.738
7p5hC	8.738
1saxA	8.738
1u8bA	8.738
5fb2A	8.738
6p0uB	8.167
6hseA	8.167
6vjsY	8.167
4kmfA	7.633
2l02B	7.633
2pjpA	7.633
2efoA	7.633
3crjB	7.633
6gcsH	7.633
7p7cE	7.135
2pmhA	7.135
5e18F	7.135
4g8xA	7.135
3iam2	7.135
1on1A	7.135
8c6jO	6.669
5xjcL	6.669
6qdvO	6.669
5y6aB	6.669
7b9vO	6.669
6zjy2	6.669
6vjsX	6.669
8b9zE	6.233
6onuH	6.233
2dbbB	6.233
