PDB_ID	bits
4oavD	7.193e-09
4y12A	7.193e-09
4itiB	1.778e-09
7q52AAA	7.376e-10
7ydxA	4.875e-10
1u46B	2.13e-10
7lgsC	3.86e-11
7t6fB	3.48e-11
4lrmE	2.98e-11
3uzsA	1.969e-11
4yjvA	1.969e-11
2wtkE	1.87e-11
1yvjA	1.444e-11
2x2mB	1.444e-11
3tkuA	1.174e-11
4yjqA	1.174e-11
6aamA	1.114e-11
7runA	1.114e-11
3f5p_D	8.169e-12
4yurA	7.757e-12
2wtkB	6.994e-12
5y5tA	6.994e-12
4ualA	6.994e-12
5i9vA	6.642e-12
3lxkA	6.642e-12
5hezB	5.989e-12
6d3lA	5.127e-12
4xg3A	5.127e-12
5ttvA	4.623e-12
3uztA	4.39e-12
6x8fA	3.958e-12
2x2kA	3.958e-12
3tkuB	3.569e-12
8hmtB	3.389e-12
7ll5A	3.389e-12
5wnfB	3.056e-12
2j5eA	2.901e-12
6ovaA	2.901e-12
4d0wA	2.901e-12
4bbfB	2.755e-12
8h75A	2.616e-12
3iw4A	2.616e-12
5f20A	2.484e-12
4d1sA	2.359e-12
4yjsA	2.359e-12
3a8wB	2.24e-12
2zm3B	2.24e-12
5wevA	2.24e-12
4e6qB	2.24e-12
3clyA	2.02e-12
