PDB_ID	bits
7wfrA	8.772
4gslC	6.968
7dxcB	6.968
8fhiA	6.968
7mzaB	6.968
8bx7D	6.578
1igjC	6.21
6h04A	6.21
7lqyB	4.933
7mz9C	4.657
7wfwA	4.657
8as2A	4.657
3hrzC	4.657
4tqeL	4.657
7rquA	4.396
3ugxC	4.151
8pivA	4.151
8oxwA	4.151
2y65C	3.918
8as3A	3.918
6h03A	3.918
7mx8H	3.699
6k3fD	3.699
3j8xK	3.699
8p3tB	3.297
7q60A	3.112
8c1sA	3.112
3frpB	3.112
8eokG	3.112
7u0eH	3.112
3cu7A	3.112
2qkiC	2.938
7ylrA	2.774
4ll4A	2.774
7rhkB	2.774
5fk0H	2.619
3cu7B	2.619
7r0cC	2.619
6vfwE	2.619
1cd9D	2.472
5tv1A	2.334
5lt1B	2.334
4jqiA	2.334
6h6eE	2.334
7u0eA	2.334
3pvmC	2.334
1sujA	2.204
8f6pA	2.204
1g4mA	2.204
8fwsA	2.08
A0A455C286	1.456
M0QSZ3	0.02744
A0A850ZR49	0.0058
A0A401NLR5	0.000517
A0A411G5U4	9.74e-06
A0A3Q0QU97	5.477e-06
A0A3Q2ZQZ7	4.609e-06
A0A3P9I6N4	1.226e-06
A0A553R555	1.032e-06
A0A5C6PT95	9.196e-07
A0A7L0RHI3	8.196e-07
A0A673FSM6	1.093e-07
A0A3Q2DX21	1.032e-07
A0A315V3D0	5.803e-08
A0A3B4F0F0	4.883e-08
Q9QYK8	4.883e-08
A0A4W4H532	2.909e-08
A0A4W4H1C9	1.835e-08
A0A3Q3MLL8	8.198e-09
Q58F07	4.109e-09
A0A672IYW6	2.593e-09
A0A671KLV2	2.311e-09
A0A3N0XGK7	1.376e-09
G3T4J8	1.376e-09
A0A3B4CP89	9.745e-10
A0A7N9D1D0	6.513e-10
F7FJC1	5.48e-10
A0A667XZJ4	5.48e-10
A0A674MD36	5.173e-10
A0A3Q2Z2Q5	4.353e-10
A0A671KQQ3	2.593e-10
A0A401T7S1	2.06e-10
A0A315VYE3	1.458e-10
A0A4W4H350	1.032e-10
A0A3Q3E7T9	8.2e-11
A0A3B3SIG9	7.741e-11
A0A4W4H146	6.514e-11
A0A402ERW0	6.514e-11
A0A3B4YRM5	6.149e-11
A0A3B3SJM8	4.611e-11
A0A4W4H515	2.182e-11
G3PU46	2.06e-11
A0A3Q3EBL8	1.945e-11
A0A315VL22	1.733e-11
A0A673G1E6	1.733e-11
A0A212DC30	1.227e-11
A0A3Q4G9F2	9.747e-12
A0A452GPI6	9.202e-12
A0A3Q4GWW5	8.201e-12
A0A3Q1H0J8	4.885e-12
