PDB_ID	bits
4kk2B	8.652
7quzDDD	8.174
2a8iA	8.174
1nkvA	7.295
3iz3C	6.151
6od1A	3.904
1te5B	3.904
6vinA	1.664
6lbpA	0.4764
1mbzA	0.4017
6ugkA	0.3585
4zfjB	0.2549
1mc1A	0.2275
1mbzB	0.1618
1jgtA	0.1528
6z4eA	0.1444
6rreA	0.1289
6rreE	0.1087
1gph1	0.09698
4zflA	0.09698
4zfkA	0.07726
6rreF	0.06154
6rreB	0.05814
6rreC	0.05189
6rreD	0.03293
4iipA	0.02623
1ao0C	0.02478
3f7aA	0.01056
3f79D	0.004503
3f79C	0.004019
3f7aB	0.003202
6k4eA	0.002276
3rnrA	0.0009167
3ke6B	0.0009167
3f79B	0.0005817
3rnrB	0.0004378
6k4eB	0.0002941
3ke6A	0.0002778
3f79F	0.0002625
3zt9A	2.152e-05
3pu9B	2.942e-06
3w43A	2.092e-06
5ucgB	1.764e-06
5ucgC	1.185e-06
5ucgE	5.658e-07
5ucgD	3.028e-07
5ucgA	2.153e-07
5mqhA	1.62e-07
3d8kB	3.802e-09
3d8kD	2.554e-09
Q3TAP1	0.000159
A0A7J7U8N6	3.236e-05
A0A2K6V350	2.578e-05
A0A3M0KBP8	2.578e-05
A0A670JMJ2	1.546e-05
H9GM73	1.038e-05
H3DA68	1.038e-05
A0A096P4Z2	9.266e-06
A0A1L8HFW5	8.27e-06
A0A3P4NNL8	6.974e-06
L8IRA0	5.555e-06
A0A6I8SQL0	5.248e-06
A0A498LQB6	3.731e-06
A0A0P7V9I7	3.33e-06
A0A444V791	3.33e-06
A0A4W3K0A3	1.997e-06
H3CZK1	1.197e-06
A0A3L8S5P3	1.197e-06
A0A1S3RK31	6.405e-07
G3QAB7	6.051e-07
A0A6A5ES11	5.717e-07
C3Z446	4.554e-07
A0A665X8Y5	2.89e-07
V9L3U5	2.579e-07
A0A3Q3W2V2	2.302e-07
A0A3B5L681	2.055e-07
A0A5A9P3L3	1.941e-07
A0A5A9MYD4	1.834e-07
A0A3P9H5J4	1.164e-07
A0A2R8RM47	7.385e-08
V9L6U1	6.977e-08
A0A672H2B2	4.427e-08
A0A0S7IJD5	3.733e-08
A0A1A6GM72	3.332e-08
A0A3B3QQR3	2.114e-08
A0A6J1WS49	1.503e-08
V4BBU8	1.42e-08
M3ZE36	9.54e-09
A0A1S3CVR6	9.54e-09
A0A3Q2G9F7	8.044e-09
A0A0S7HDM1	7.18e-09
A0A3S3RGJ5	5.403e-09
A0A3N0Z520	5.105e-09
E9GA03	4.823e-09
E4XCT4	3.842e-09
A0A6P8J1A7	3.63e-09
A0A1I8HV46	3.239e-09
A0A6M2D3K3	2.891e-09
A0A6J0W5G4	2.176e-09
B7QB40	2.056e-09
