PDB_ID	bits
3p0cB	9.995
6kr4D	9.995
3g0kA	9.504
4o8jB	9.504
3gwrA	9.037
6n5xA	9.037
2qctB	9.037
3f8xC	9.037
2redA	8.593
5l33A	8.171
5tgiB	8.171
4qdiA	8.171
3p0cA	8.171
5wy2A	7.769
5j8rB	7.769
2nv5C	7.769
4pwzA	7.025
4d3zA	6.68
1jlnA	6.68
2bngC	6.351
6w3fB	6.351
5ts4C	6.351
4bpcA	6.351
4wpyA	6.351
1v2bB	6.039
4lmiA	6.039
7bvbB	6.039
6n5yA	6.039
7bwlA	5.743
2c7sA	5.743
6subA	5.743
4qybB	5.192
2geyB	5.192
3blzD	5.192
4blqA	4.937
3owaA	4.694
3f6hA	4.694
7bn9A	4.694
2ooqB	4.694
1l4sA	4.464
2geyA	4.464
4r80B	4.244
3f40A	4.244
4v4gAa	4.036
3en8A	3.649
6cibF	3.649
2geyC	3.47
4wspA	3.299
6cibE	3.299
6qbzA	3.299
A0A4P7JMK3	0.05587
A0A7G5HRG6	0.009109
A0A1Q2GZI2	0.007831
A0A1H6LT52	0.005233
A0A0P7ZP24	0.004499
A0A3D4Q3B8	0.003325
A0A1B2M1G7	0.002009
A0A1F6TPX9	0.001727
A0A5B8E6N5	0.001412
A0A5N7RNA8	0.0008113
A0A4Z0NXS6	0.0006632
A0A7Y3RHC8	0.0005421
Q31HP3	0.0003623
A0A494Y357	0.0002678
A0A4Y4F775	6.533e-05
A0A2E7U782	4.829e-05
Q1LKN1	4.591e-05
Q02HS2	4.366e-05
A0A3A0EN51	3.393e-05
A0A3A0ET66	2.385e-05
A0A3N5KMV1	2.268e-05
W8WV36	2.05e-05
A0A2N7VQL1	1.854e-05
A0A1G0GRN1	1.303e-05
A0A5E4T748	9.63e-06
A0A1F4B5E1	9.63e-06
A0A7C6NRM7	6.768e-06
A0A1D2UKV2	5.818e-06
A0A2A4C4F3	5.818e-06
A0A2S9GY24	5.002e-06
A0A5E4TWD6	3.888e-06
A0A208Y476	3.179e-06
A0A3R7RZV0	3.179e-06
A0A0J1D5P0	3.022e-06
M1M444	3.022e-06
A0A7D7ZMF3	3.022e-06
A0A0S7Z1W4	1.736e-06
A0A5P3MRZ0	1.736e-06
A0A432F2S1	1.736e-06
A0A258HP28	1.493e-06
A0A5E7L8M0	1.419e-06
A0A127EXT1	1.419e-06
A0A1W6SRE7	1.16e-06
A0A5E4XE84	1.049e-06
A0A6J5GDW2	7.754e-07
A0A1W9KYD0	7.754e-07
A0A3F2V3B4	6.339e-07
A0A3N4VF44	5.182e-07
A0A0C1VIX4	4.685e-07
A0A2J9DXY5	4.455e-07
