PDB_ID	bits
1u9lA	9.123
3im2A	8.554
1uqvA	8.554
6v0mC	8.554
2bkeA	8.02
6lukA	8.02
3tadA	8.02
7mqvB	7.52
1szpF	7.52
6v0mB	7.52
7qg0A	7.051
1pznA	7.051
2dkzA	7.051
1pk1C	6.611
3tadC	6.198
3tacB	6.198
1wclA	5.812
7ejcA	5.449
3ldaA	5.449
5nwlD	5.449
4pzoE	5.449
7cm7A	5.109
7ej6B	5.109
1szpA	5.109
1z1vA	4.79
1szpD	4.211
5nwlL	4.211
7ld0A	4.211
5nwlI	4.211
8gykB	3.948
8gykH	3.702
5nwlH	3.702
1szpE	3.702
6kr4E	3.702
1pk1A	3.471
5nwlF	3.471
8hvrK	3.255
4pznA	3.052
6kr4F	3.052
6kr4H	3.052
6sgbFG	2.861
1doqA	2.861
8gykE	2.861
8bq2A	2.683
8p2lA	2.358
5j8yB	2.211
6ywy33	2.211
7cm6A	2.211
1cokA	2.073
6kipB	1.944
