PDB_ID	bits
2rldB	9.967
8br2A	9.967
5np7C	9.372
2i1qA	9.372
2f1hA	9.372
3ihqB	8.813
8gjaB	8.813
2rldE	8.287
7rdsA	8.287
3ewaA	7.328
8auwD	7.328
1pznA	6.891
1z1vA	6.891
8gjaD	6.891
2z43C	6.891
7c9aA	6.48
1wclA	6.48
1xu4A	6.48
1sv0D	6.093
8gj9A	6.093
7ej6B	6.093
3ldaA	5.729
1t4gA	5.066
8gykB	5.066
3tadB	5.066
6kr4H	5.066
8gykE	4.764
8fazC	4.48
8ouzB	4.48
5nwlF	4.213
8bscD	4.213
2bkeA	4.213
3fyhA	4.213
2zucB	3.961
1szpF	3.725
8gbjC	3.725
2dflA	3.725
1u9lA	3.725
1cokA	3.503
1szpA	3.503
5lm9A	3.503
2zubB	3.503
2zj8A	3.294
8bq2A	3.097
5j8yC	3.097
5nwlH	3.097
6zfxA	2.575
6kr4F	2.575
7qg0A	2.422
4mtnA	2.422
A0A6P3T9W7	0.2627
A0A4U1FS12	0.1336
A0A212D3I0	0.1256
A0A5J5MP08	0.1256
M1EN32	0.1044
A0A6B0RUH7	0.09234
A0A3L7I8T3	0.08165
H0XBR1	0.06789
U6DNG3	0.06384
A0A2G9R9Z1	0.06384
A0A2J8R0U2	0.06003
A0A2G9R9U1	0.06003
A0A7K4S869	0.06003
G3HIN4	0.06003
M7C1N0	0.05645
A0A2P4TDL3	0.05645
H3A766	0.05645
A0A384CF41	0.05645
A0A852JCG3	0.05308
G1N3W0	0.04991
A0A803TBN3	0.04991
A0A226MZR0	0.04694
A0A852C8D9	0.04694
A0A6J1VZY2	0.04694
A0A7L2E0U8	0.04414
A0A5C6N7Q1	0.04414
A0A7K7DMJ1	0.0415
A0A6F8ZU32	0.0415
A0A6P5K172	0.0415
I3IW32	0.0415
A0A7L3DLG7	0.0415
A0A6F9CYF6	0.0415
A0A7L3FTQ8	0.0415
A0A402EEK2	0.0415
A0A6G1R4R2	0.03903
A0A6G0INJ4	0.03903
A0A5C6MSA7	0.03903
A0A6J0IL71	0.03903
A0A3Q4IDZ9	0.03903
A0A834KZE1	0.03903
A0A7J5Z773	0.03903
A0A553N484	0.03903
A0A498N6Z2	0.0367
A0A7J5ZHJ0	0.0367
A0A6F9BJA5	0.0367
A0A6I9PS33	0.0367
A0A1A8UQU2	0.0367
A0A5A9NCF1	0.0367
A0A2R8QJW7	0.0367
A0A673XFX4	0.0367
