PDB_ID	bits
8pd7A	4.268
6bwmA	3.296
7n0nA	2.658
5an8A	2.439
8pd5A	1.884
8pduB	1.586
8pd9A	1.077
8pd3A	0.7965
8ekqA	0.7308
8pczB	0.6423
4g80S	0.4752
8otwB	0.4752
8ekrA	0.4552
8eksA	0.4176
4g80I	0.4
7t38A	0.3832
8fc8A	0.3832
6o77A	0.309
6oo7D	0.2098
6whgB	0.2098
8pd2A	0.1691
6mhxB	0.1364
7zjgA	0.11
7vnqA	0.1054
7t37D	0.09666
8teoA	0.09666
6mhwA	0.05068
8gkaA	0.03024
6bclC	0.02658
7sipA	0.02546
7e7zB	0.02438
6pqpA	0.02438
7vnpA	0.02143
8j05B	0.02053
8dflA	0.02053
8sdaD	0.01966
7wf4D	0.01728
7uk5A	0.01393
5wieH	0.01335
7e87B	0.01225
6lgpA	0.01173
8sd3A	0.01076
7e8eD	0.01076
6pqoD	0.009876
7f0jB	0.009061
8sdaC	0.008314
7ssxA	0.007628
7ukfA	0.006704
7w3yA	0.006151
7w6sB	0.004751
Q9R053	1.266e-44
P35500	1.471e-47
D0E0C2	1.35e-47
Q05973	7.712000000000001e-48
V9KBA8	3.404e-48
A0A1A8PM90	7.386e-50
A0A402EYR2	3.123e-50
A0A096LV25	1.863e-50
A0A1A8KUQ3	9.769e-51
R0JGV8	1.16e-52
A0A0P7U9Z6	8.768e-56
A0A3Q1IUK0	9.763000000000001e-57
A0A2U3XPT8	9.152000000000001e-58
A0A3N0XKR4	1.21e-58
A0A7K9A3V0	1.159e-58
A0A6J0SGI1	4.309e-59
A0A2U3XQ14	4.127e-59
A0A819J9D4	3.053e-59
A0A6J1UUL7	2.988e-60
Q16JN2	2.626e-60
A0A226MVN3	3.6259999999999996e-61
Q9XZC1	7.701e-62
A0A0K2TTD9	6.483e-62
A0A3S2MZ18	3.705e-62
A0A060W8H4	3.399e-62
A0A6P6JAK6	2.682e-63
A0A4D9F519	1.236e-63
E9N683	6.482e-64
G3VGR3	2.625e-64
A0A814DBU8	1.063e-64
A0A819T6C3	6.6220000000000006e-65
A0A0Q5T4C6	5.115e-65
A0A3Q0D6P4	1.29e-65
A0A7L2V7F8	8.947999999999999e-67
A0A091QEW5	8.571e-67
A0A818XWE0	7.3719999999999994e-68
A0A4U5VRG0	1.063e-68
A0A7J7TFT7	2.407e-70
A0A7L2GYR6	5.451e-74
A0A6A4S8P6	1.7419999999999999e-75
A0A834CAV3	9.956000000000001e-76
E5DMR8	5.568e-77
A0A5E4CRK1	1.531e-77
Q99244	6.757e-78
A0A1B6D8D4	1.261e-78
A0A0L8HLX0	1.157e-78
A0A6G1S9U7	1.4040000000000002e-79
A0A087T4R1	8.025e-80
A0A3P7Q889	8.025e-80
A0A7T1L6G9	6.756e-80
