PDB_ID	bits
2x6nF	9.849
2qm0B	9.849
2j4rB	9.849
3rigB	9.849
5hiaC	9.26
6bo3A	9.26
4s1pA	9.26
7n3nA	9.26
7mxoB	9.26
4iljB	9.26
3c9fB	9.26
7rroKO	8.705
7n1rA	8.705
3lf1A	8.705
5hiaD	8.705
3hgsA	8.705
6u3xB	8.705
1s3xA	8.705
7zhtB	8.184
6p2uA	8.184
2y4lB	8.184
3o4qA	8.184
6pc0B	8.184
5nt7D	7.694
8apoBk	7.694
1nggA	7.694
4pr3A	7.694
1bwkA	7.694
6jcgA	7.694
7ko2C	7.694
4jkgB	7.694
1bwlA	7.694
1ngfA	7.694
1t6cA	7.694
2ph7B	7.694
6ha7B	7.694
4jkgA	7.233
5obuA	7.233
6ruqD	7.233
5umgA	7.233
7ko2D	7.233
6b1nB	7.233
1qqnA	6.8
3qp9C	6.8
8iyjKE	6.8
4p81B	6.8
3mknB	6.8
7f50A	6.8
7btmB	6.8
3sqoA	6.8
