PDB_ID	bits
6ahuK	9.476
6kw5X	9.476
7uqxB	9.476
7z8qc	9.476
8glvGz	8.88
4kbjA	8.88
7ung5	8.88
6tygC	8.88
5wu5C	8.88
6imfB	8.88
7yx7A	8.88
7ol0I	8.88
3s25A	8.88
4cy6C	8.88
5xonI	8.88
5cj0A	8.88
4cy6A	8.88
4cy6B	8.88
4s37G	8.88
3o46A	8.322
6f6wC	8.322
8otzAV	7.799
8he5I	7.799
7wbwI	7.799
3wwnB	7.799
6kxnB	7.799
1xx9C	7.799
6uq0I	7.799
7a3dA	7.799
8bbfA	7.309
7uqyB	7.309
2ra2B	7.309
7eu1I	7.309
6kxlB	7.309
7a3bA	7.309
1txdA	7.309
6tsbAAA	6.849
3iz3C	6.849
7wt6A	6.849
4y92A	6.849
3jayC	6.849
7yl4B	6.849
3t2nB	6.419
5iybI	6.419
8hyjI	6.419
4a9uA	6.419
5cj0B	6.419
3jazC	6.419
5iycI	6.015
1k0rB	6.015
A0A2K6QVG8	3.028
G3QT67	2.838
A0A673TXK5	2.051
A0A0P7UMA6	1.923
A0A2K5WYB5	1.483
A0A6J0YQW2	1.22
O15428	1.22
F6Y2N2	1.072
A0A402FV83	1.004
A0A7J7TAE2	0.9413
A0A7J8BUQ4	0.9413
A0A2K6KL91	0.8822
A0A4W6DKH1	0.8822
A0A1V4KDN8	0.7747
A0A3N0Z928	0.7747
A0A3B5LH14	0.7747
A0A2G9RUP3	0.726
A0A498NLG8	0.726
A0A3Q3K283	0.726
A0A7J5YT12	0.6804
A0A7L4F1H4	0.6804
M4AM87	0.6376
A0A1D5PZU7	0.6376
A0A6A5FQT8	0.5976
A0A7K8SF01	0.5976
A0A0S7GWP9	0.5976
A0A7M4F4N0	0.5976
A0A4W4G090	0.56
Q4SMI5	0.56
A0A3Q2GIR7	0.56
A0A0D9S707	0.5248
A0A024GAQ2	0.5248
G5A3S5	0.5248
K3XC61	0.5248
A0A7S0UGU0	0.4918
A0A177B472	0.4918
A0A1W0XEX1	0.4918
A0A0C3CF42	0.4609
A0A6A4H220	0.4609
A0A5K3FXK3	0.4609
A0A7S0J326	0.4609
A0A6J3R656	0.4609
A0A1Q9E8G7	0.4609
A0A0K0EF92	0.4319
A0A0G4J8A2	0.4319
A0A7S2LJ95	0.4319
R1D355	0.4319
R1G3T3	0.4319
A0A4Y1RRR3	0.4319
A0A2G5CQD4	0.4319
