PDB_ID	bits
2eczA	0.00034
2ct3A	0.0002357
2d8hA	0.0001257
2cucA	4.648e-05
8bq3A	1.468e-05
4afzD	2.748e-06
4ag2D	1.253e-06
3cqtA	1.071e-06
1azgB	8.682e-07
4afzC	8.239e-07
7a2lA	6.018e-07
3h0iB	5.419e-07
4d8dC	4.631e-07
3h0hA	2.743e-07
7a2nC	2.47e-07
4hvuA	2.225e-07
4hvvA	2.111e-07
2hdaA	1.804e-07
7jt9A	1.463e-07
6ipyA	1.389e-07
5ec7B	1.069e-07
7a2uA	9.624e-08
7a2wA	9.624e-08
7a39A	8.667e-08
7a33B	8.225e-08
6ipzZ	6.67e-08
7a2vA	6.67e-08
6edfA	4.623e-08
7a32A	4.387e-08
5ecaA	3.951e-08
4hvwA	3.041e-08
6c4sB	2.466e-08
4hxjB	1.709e-08
7a37B	1.539e-08
7a39B	1.386e-08
7a3cB	1.067e-08
1aouF	7.394e-09
8bzoA	5.125e-09
7jxxA	2.881e-09
2cn8A	7.381e-10
6fdyU	5.986e-10
3hckA	5.116e-10
7jxyB	5.116e-10
1cweC	3.736e-10
7jv7A	2.875e-10
6athA	1.993e-10
1fbzB	1.244e-10
4equA	1.12e-10
2j7tA	4.846e-11
3comA	2.585e-11
