PDB_ID	bits
6j63A	9.676
6iz8B	9.676
4e3eA	9.158
2wqwB	9.158
1tg5A	9.158
7pv9B	9.158
4cilA	9.158
1sp8A	8.667
7x7lA	8.667
8hzuA	8.667
6t0sA	7.764
5epiU	7.764
4p9aA	7.764
1sp9A	7.348
5ywkB	6.582
5epiI	6.582
7nhnr	6.582
6szvA	6.582
4a57B	6.229
5ay6B	6.229
8sgdD	5.895
7x7lD	5.58
5ywgA	5.58
8h69A	5.58
5yy6A	5.281
5ifdA	5.281
1s9cI	4.998
3hdjB	4.998
6szuA	4.73
5xgkA	4.01
3kayB	4.01
4jepA	4.01
5xgkC	4.01
6sgbCQ	3.795
2znlA	3.592
3cm8A	3.592
5v93q	3.4
6fhiA	3.045
6hivCQ	2.728
7jilv	2.728
2qq2G	2.728
1q6wC	2.728
5yy7A	2.728
8qppQ	2.581
6t0nA	2.443
5xgkD	2.312
8scbLL	2.188
3ga2A	1.756
5hmqA	1.662
3omlA	1.662
A0A7S7YQ81	9.764
W2JZJ6	9.764
I1YZZ9	9.764
A0A1C3GHU4	9.764
A0A5J6CYI5	9.764
A0A6N9ZS35	9.764
A0A7M5X361	9.764
A0A7M6DMT2	9.764
A0A1V4T0E4	9.764
Q6RYS6	9.764
Q6RYS5	9.764
J9PJD5	9.764
A0A2Z5XV34	9.764
A0A2Z5X7U3	9.764
A0A6L9GAI8	9.764
Q6RYS4	9.764
G4WMX3	9.764
A0A5A4MID2	9.764
A0A4Y9T6P2	9.764
Q9U6Y3	9.764
A8CLW9	9.764
A0A3M6V1F6	9.764
A0A3M6V1F2	9.764
Q7Z168	9.764
D1KWU6	9.764
Q9GPI6	9.764
A0A3M6TPT4	9.764
I0IY48	9.764
T2HNK0	9.764
Q8MMA2	9.764
G4WMX2	9.764
H3JQU4	9.764
A7S3R2	9.241
A7S1H5	9.241
Q8T4U4	9.241
A0A1C8YXK2	9.241
A0A3M6US01	9.241
A0A1C8YXN8	9.241
A0A1C8YXN2	9.241
Q2MHN7	9.241
B1PND0	9.241
A0A1S7IWM8	9.241
A0A1S4NYF2	9.241
C3YRA1	9.241
A0A6P5A0Y1	9.241
C3YKP7	9.241
C3ZLQ0	9.241
C3YR99	9.241
A0A7U3V473	9.241
A0A2B4RJ70	9.241
