PDB_ID	bits
4j7qA	9.612
4yxzA	9.612
7oa5A	9.012
1etoA	9.012
2dnaA	9.012
1auaA	9.012
6h3aD	9.012
1vdlA	9.012
3fuuA	9.012
2damA	9.012
3glfE	8.448
6c9dA	7.92
8c3wA	7.92
7x7pB	7.425
6sldA	7.425
5eakA	7.425
4g3oA	7.425
1ixrB	7.425
1etkB	6.961
2ejsA	6.961
7oa5D	6.526
2muuA	6.526
2lvaA	6.118
7t8jA	6.118
8f53A	6.118
1etqC	5.736
2jp7A	5.736
3fiaA	5.377
1f36B	5.377
2di0A	5.377
1a5tA	4.726
7uykB	4.726
7tcyA	4.726
3bq3A	4.726
2h5xB	4.726
3b0fB	4.431
5x0wG	3.651
2dagA	3.651
2cp9A	3.651
2cp8A	3.423
2jujA	3.423
2dzlA	3.209
2dklA	3.209
2qsfX	3.209
1vegA	3.209
1ufzA	3.209
2dhyA	3.008
1tr8A	2.82
1wj7A	2.324
4un2B	2.179
A0A852ISA1	9.982
V8PH52	8.773
A0A7J8ICP1	8.225
F6QX91	7.711
A0A7J8IAY1	7.711
A0A7J8BUZ3	7.711
S7NKX3	7.229
A0A5F4CP79	7.229
A0A7N4P2Z3	6.777
U6DDC4	6.354
A0A226MD41	6.354
A0A7J8BUC2	6.354
A0A6P5Q6A0	6.354
A0A5G2QPT2	5.956
A0A7J8BUR2	5.956
A0A6I9YKG4	5.956
A0A7K6HLL0	5.584
A0A3B3DDC1	5.584
A0A5C6NR83	5.235
A0A7J7RC28	5.235
A0A669QX28	5.235
P54726	5.235
G3WQ89	4.908
A0A7J8IBP3	4.601
A0A287ARC6	4.601
A0A7K4LTL2	4.601
H2UBS4	4.314
A0A7N4PV78	4.314
A0A2P4SVV1	4.314
A0A452TJ30	4.044
A0A0S7HPT5	4.044
A0A315UVB6	4.044
A0A834KZZ5	4.044
A0A673UHG8	4.044
P79370	4.044
A0A7K9JQX6	4.044
F1QHZ1	3.791
A0A669R8T1	3.791
Q29RK4	3.791
A0A7L2SND5	3.791
A0A7L3WK84	3.791
A0A3M0IYJ1	3.791
A0A6P6N9N8	3.791
A0A3Q0GJZ0	3.791
H2UBS2	3.554
A0A1S3GNX5	3.554
A0A833ZM70	3.554
A0A6F9CTX6	3.554
A0A0U2QT43	3.332
G5DY73	3.332
