PDB_ID	bits
4logA	0.001323
6v87B	0.0006219
7rs3A	0.000569
6df6C	0.0004359
7rs3B	0.0003195
4q50D	0.0002923
5u2bE	0.0002049
7rs1A	0.000196
5tm9B	0.0001875
1hj1A	0.0001875
6df6A	0.0001875
4q13B	0.0001794
8dugB	0.0001794
6petA	0.0001641
6dfnB	0.0001502
4dorA	0.0001502
5tm4B	0.0001436
7msaB	0.0001436
7rryA	0.0001374
2jf9B	0.0001314
2jf9A	0.0001314
2jfaA	0.0001203
7msaA	0.0001203
6psjB	0.000115
5aauA	0.000115
4q50F	0.00011
7msaD	0.00011
5ak2A	0.0001053
3os8B	0.0001053
7rs3D	9.632e-05
6dfnA	9.632e-05
7rs9C	8.814e-05
2qtuA	8.431e-05
8dv7A	8.431e-05
2qe4B	8.431e-05
1l2jA	8.431e-05
6df6D	8.065e-05
2qxsA	8.065e-05
5accA	7.714e-05
2q70A	7.379e-05
3os8D	7.379e-05
1l2jB	7.059e-05
7ujcA	7.059e-05
3k22A	7.059e-05
2jf9C	7.059e-05
5uc3B	6.752e-05
3dt3A	6.752e-05
7qvjA	6.752e-05
7rs1C	6.752e-05
7rs2A	6.752e-05
A0A226NCS6	0.2149
A0A3L7H7U0	0.1647
A0A5F4CL76	0.1379
A0A6A4STU9	0.09665
A0A6J3S3C2	0.08843
A0A4W3KAF0	0.07083
A0A671PZV2	0.02232
G7P2V1	0.02043
A0A5F4CI69	0.01869
A0A3B3ZR18	0.01788
A0A2I2U3X3	0.01253
M7B9W1	0.01253
A0A494C0D9	0.01049
A0A061INH3	0.009602
A0A3Q1J739	0.007356
A0A0P7UKC4	0.006439
A0A0P0QM05	0.005892
A8CEG2	0.005636
A0A672QGK3	0.005636
A0A3G5BIT3	0.005636
W5KNQ3	0.004719
A0A2D0SLM7	0.004318
Q56TN8	0.003779
A0A5A9PH30	0.003458
A0A6A4SFA0	0.003308
A0A7L2QKN8	0.002895
A0A3B3T7E7	0.002895
A0A7N5JQT0	0.002649
A0A1A8GIZ5	0.002218
A0A556V6E4	0.00203
A0A1L8H6N7	0.001857
A0A3B4D2V3	0.001857
A0A3B4X0S4	0.001423
A0A3B4WY96	0.001361
Q2PG30	0.001245
A0A3B1KCW1	0.001191
A0A6A4TCF6	0.00109
A0A5F4D4S0	0.00109
A0A672QJ31	0.0009974
A0A3P8ZXT7	0.0009974
A0A4X1W697	0.0006688
A0A1L8GW07	0.0006688
A0A7L3WKD0	0.0005599
A0A161H7T9	0.0005124
A0A3Q0HHG5	0.0004688
A0A1B8XTC6	0.0004485
Q5F2K0	0.0003592
A0A556VX51	0.0003286
A9QDP8	0.0003144
Q2XXL3	0.0003144
