PDB_ID	bits
6hszC	9.083
5fueD	9.083
7p2vA	8.643
6gx3B	8.224
6xylC	7.826
6y21D	7.826
6hrqC	7.447
6hu3C	7.447
6vjuB	7.447
6hu3A	7.447
6hsgC	7.447
4bz9A	7.447
6gxwB	7.087
7p2tA	6.744
6zs7C	6.744
6hthB	6.744
6zs7B	6.744
6gx3D	6.744
6gx3A	6.744
6ht8C	6.106
6tldA	6.106
1smkC	6.106
6hthC	6.106
6hu3D	5.811
6xwlE	5.811
4bz5D	5.529
6hrqB	5.529
6fu1A	5.529
5b04C	5.529
8iavB	5.262
6gxuA	5.262
8g4xE	5.262
6xwlC	5.007
6hsfB	5.007
1npyA	5.007
4pcvB	4.765
8esrq	4.765
6fu1C	4.534
6zs7E	4.314
4bz5A	4.106
4bz5C	4.106
4ofxA	3.203
8by2A	2.901
5zmpA	2.76
5g1oC	2.499
4p4lA	2.378
7zd7A	2.378
4xrpC	2.263
5g1oE	2.263
5g1pB	2.263
A0A131XV99	8.892
A0A1Q2XC00	8.462
B5A258	8.462
A0A164KMQ3	8.052
A0A7R8W6M6	6.938
A0A0C9QZ43	5.414
A0A0K8TX75	4.665
A0A1L8DIM4	4.439
A0A1X3CH90	4.439
A0A6L2ZK83	4.439
A0A2L2Y4D0	3.825
A0A6A4J3C4	3.463
A0A2L2Y8C6	3.136
A0A1Y2GFJ1	2.572
A0A2V0R949	2.447
W8AUQ5	2.216
A0A034V3A6	2.216
W8AMF5	2.109
A0A2L2XXN2	2.109
A0A2V0RC36	2.109
Q95FY6	2.006
A0A2D4GRF3	1.909
A0A0A1XGZ9	1.817
A0A2V0RBS9	1.817
A0A6L2ZJC3	1.817
A0A2L2Y1D4	1.729
T1DLW6	1.729
F1KSN9	1.645
A0A2V0RBK1	1.645
A0A6L2ZL28	1.49
A0A6L2ZJG1	1.284
J9PCP3	1.284
A0A2V0RJP3	1.284
A0A2V0RAR9	1.284
A0A0V1KK42	1.162
F1L7D3	1.106
F1KZ33	1.106
A0A6L2ZJH2	1.053
A0A2V0RB80	1.002
A0A2V0RAJ3	1.002
A0A2V0RC59	1.002
A0A0K8UHE7	1.002
A0A2G9UTU5	1.002
A0A2V0RLT3	1.002
A0A2V0RA33	1.002
A0A2V0RBJ3	0.9531
D3TM19	0.9531
A0A2V0R9H9	0.9531
A0A034V1U7	0.907
A0A2V0RBN8	0.907
