PDB_ID	bits
7a76C	9.992
7dv4C	9.992
3w88A	9.992
1ktbA	9.992
4n8pA	9.396
5ys6A	9.396
7kdpA	8.836
1wo8A	8.309
6ru5A	7.813
2huhA	7.813
2a74A	7.813
1cf1B	7.347
7vrrB	7.347
2yjlA	7.347
2dstB	7.347
6n91B	6.909
7bqoA	6.909
5zjmB	6.909
5tr3B	6.497
5ax7A	6.497
6aonB	6.497
4u0pB	6.497
3l5nA	6.497
3ugxC	6.497
3q48B	6.497
4hx3J	6.497
8enuG	6.11
1uf3C	6.11
2fb6A	6.11
7faoC	5.745
7nfcH	5.745
1b3yA	5.402
7evcB	5.402
4hx3D	5.402
7zg0E	5.402
8u2vB	5.08
8d7hE	5.08
2qkiA	5.08
6c2vA	4.777
8ajkA	4.777
5csaA	4.492
3steA	4.492
5flgA	4.224
4ywoA	4.224
5w40D	4.224
7f1wA	4.224
7bqpA	3.972
8f3dA	3.735
3u9tB	3.735
2j289	3.735
