PDB_ID	bits
6qc4BJ	9.695
8f5hA	9.16
4s0oB	8.176
7ohph	8.176
2r1qA	6.514
7r81j1	4.903
1fpoC	1.119
1fpoA	0.1717
6hivBK	0.04921
4it5C	0.03921
5y88T	0.03124
4it5A	0.02951
2ys8A	0.02951
2y4uA	0.02634
6hixBK	0.02489
2ctqA	0.0177
6jmgB	0.01672
7aoiBK	0.007132
1wjzA	0.00322
6z5nA	0.003042
2kqxA	0.002874
5aykA	0.002163
8glvIn	0.001628
1xblA	0.001373
2yuaA	0.001297
6yxyBK	0.001226
1bqzA	0.001034
2n04A	0.001034
1bq0A	0.0009765
8bqsA2	0.0009226
8glvKA	0.0006199
6byrA	0.0005227
3ucsC	0.0004666
2lgwA	0.0004408
3ucsD	0.0004165
8fe2B	0.0003717
8gymj1	0.0003512
1hdjA	0.0002644
5nroB	0.0002644
8eodA	0.000236
3apqB	0.000236
7jtky	0.0002229
4rwuA	0.000199
6psiC	0.000188
5aylA	0.0001776
2n05A	0.0001776
3apqA	0.0001415
4j80D	0.0001128
6d6xA	0.0001128
2cugA	0.0001065
A0A7J7VPP7	0.083
A0A2U3ZFI5	0.07842
A0A835ZP44	0.06999
A0A2K5QVX7	0.06613
B1AXY1	0.06613
M3XYP6	0.05269
A0A485MQJ8	0.04978
B1AXX9	0.04703
A0A5E4DD65	0.04703
A0A2K6BZY2	0.04198
A0A1U7U0H9	0.03966
A0A2K5RW35	0.03747
A0A286XFJ4	0.02985
A0A2K6JM48	0.0282
A0A7N9CIU6	0.02665
L9JAS8	0.02517
G5BII0	0.02378
A0A835NLP1	0.02378
A0A7L2UI78	0.02123
A0A7L3PXH2	0.02123
A0A674GK70	0.01895
A0A7K7T632	0.0179
G3WGD1	0.0179
A0A2I2UPQ6	0.01691
A0A7J7W2W8	0.01691
A0A7K5I856	0.0151
R7VMG8	0.0151
A0A3Q0JF56	0.0151
A0A212C5R1	0.01426
A0A7K5FMI1	0.01348
L9KDK9	0.01348
A0A803JUZ0	0.01348
A0A7M4FZ48	0.01348
A0A3B5L6N5	0.01348
G5CB18	0.01273
A0A4Z2C8B7	0.01273
A0A2K5I348	0.01273
A0A2G9NBC8	0.01273
A0A5J5DMU3	0.01273
A0A6J0V249	0.01273
A0A480ZY99	0.01273
L8Y996	0.01203
L9JKR5	0.01203
A0A1S3D8R7	0.01136
G3ICK8	0.01136
A0A091TBE4	0.01136
A0A401T4M8	0.01074
A0A553QX91	0.01074
A0A674C3N2	0.01014
A0A060YZ22	0.009584
