PDB_ID	bits
2xuaA	9.977
7w8mB	9.977
2lweA	9.977
8qyqC	8.802
2qtzA	8.802
1ireB	8.802
1f20A	8.802
4q48A	8.267
5mv9A	6.85
8glvHr	6.85
4dqlA	6.85
7kvba	6.85
3d5sD	6.043
3d5rD	5.675
2goxD	5.675
8unhD	5.331
7yh8C	4.148
6u427L	4.148
2lc3A	0.0003644
2mphA	1.154e-09
A0A2Y9ICH2	9.591
P26884	9.591
L9JYX7	9.591
A0A7F8QGR8	9.591
I3LR51	9.591
A0A5F8HG56	9.591
A0A7J8IIK4	9.009
A0A4W2C8N2	9.009
M3YLB3	9.009
A0A6I8NMV6	9.009
A0A6P9FJ80	9.009
L9KK61	9.009
A0A811ZRW0	9.009
A0A7M4EXV0	8.461
A0A7L1MV30	8.461
A0A7K8UIV4	8.461
U3JG59	8.461
A0A7K7C7G7	8.461
A0A1D5P3I6	7.947
A0A6G1R9S8	7.947
A0A663DQC4	7.947
A0A7K7NMN9	7.947
A0A851D055	7.947
A0A3L8S7S7	7.464
A0A7L4H411	7.464
A0A444V041	7.011
A0A7K8R5H3	7.011
A0A556TSM5	6.585
A0A1Y7VMJ9	6.585
A0A673H5M8	6.185
A0A835NGA3	6.185
A0A0N8JX78	5.809
A0A1A8MYU7	5.456
A0A3Q2X0F6	5.456
A0A665WT07	5.124
A0A3B5B5I3	5.124
A0A6I9Y7M1	5.124
A0A673W6T4	4.521
A0A3B3DE31	4.521
V8NPE9	4.521
C1BHP9	3.988
A0A4W5JQZ5	3.746
A0A2D4M6F4	3.518
A0A811ZGQ6	3.518
A0A7L4CGA7	3.104
A0A6P4YNS8	2.915
A0A1R1PYL1	2.915
A0A3M6UGR4	2.571
A0A1R1YJP2	2.571
A0A2G9QHS3	2.415
