PDB_ID	bits
3rncA	9.905
5e78A	9.905
7yjfB	9.905
1darA	9.905
2ij4B	9.905
7y9jA	9.905
1klqA	9.905
5ax6A	9.905
1zl7A	9.905
7mwqB	9.905
6wmuK	9.905
6wgf5	9.905
4hghB	9.905
3ivtA	9.905
3thxB	9.905
7yjdB	9.905
7s01D	9.905
8dsgD	9.241
8dsgC	9.241
4r7qA	9.241
7wdiB	9.241
4o4pB	9.241
6notA	9.241
7wy4B	9.241
3agrA	9.241
2j4sA	9.241
6ly4A	9.241
3zl9A	9.241
3au5A	9.241
4extC	9.241
3e6mA	9.241
5ypzC	9.241
6bi7A	8.622
7wddA	8.622
7wdiA	8.622
5wzmA	8.622
4iduA	8.622
1ijlA	8.622
1np6B	8.622
8qsnA	8.622
8q6p6	8.622
2i9fC	8.622
8jc3B	8.622
4kdpB	8.622
7cusA	8.622
4wg2C	8.622
5cjwB	8.622
7yftB	8.622
5oqj5	8.622
5tdvD	8.622
A0A829LFW3	9.728
A0A1X3JXP6	9.728
A0A376LQ97	9.728
A0A1X3JKW6	9.728
A0A0J5NH31	9.728
A0A8B5XKS6	9.728
A0A3Z2P4G4	9.728
A0A8B4TUS1	9.728
A0A6D2G9K0	9.728
A0A747QPA1	9.728
A0A447U5T1	9.728
A0A4Y5ZNM8	9.728
A0A1C6YVG8	9.728
A0A859ECH0	9.728
A0A744BQ46	9.728
A0A3S4FNV3	9.728
A0A344KIQ8	9.728
A0A822PUA1	9.728
A0A2A4WD83	9.728
A0A2E8A9B7	9.728
A0A2W7ZN64	9.728
A0A854UTU1	9.728
A0A2D5H7Q6	9.728
A0A5H7FBY6	9.077
A0A6C9JW57	9.077
A0A450WC81	9.077
A0A7W6H204	9.077
A0A450TWB9	9.077
K2LH29	9.077
U0ZCI7	9.077
A0A1H9QDX0	9.077
A0A0L8BTH2	9.077
A0A6N8DQX8	9.077
A0A7T7KMM7	9.077
A0A8B2TQH4	9.077
A0A2A4ZNB3	9.077
A0A450S2F4	9.077
A0A450UJA0	9.077
A0A827A7Q6	9.077
A0A4U8YYM5	9.077
K6YVS6	9.077
A0A2U2MYI1	9.077
A0A5S4WIS9	9.077
A0A6M4M8X6	9.077
A0A5A9F9U2	9.077
A0A5A9FB79	9.077
A0A1M2YVW5	9.077
A0A220WG95	9.077
A0A248UK62	9.077
A0A5M6I4B6	9.077
