PDB_ID	bits
4p8mB	9.705
6zogC	9.705
4u95C	9.705
5c94A	9.705
3mcmA	9.705
4uzbB	9.15
6zoeA	9.15
8aw33	9.15
7rr6B	9.15
4gmkB	9.15
6le1A	8.628
7v4kE	8.628
3us5A	8.628
5a76C	8.135
6abhE	8.135
3mcoB	8.135
2rhqB	8.135
5t0oB	7.671
4u8yC	7.671
6zo7A	7.671
3nogB	7.671
6vu7A	7.233
7o3nB	7.233
2k7jA	7.233
7oqeG	7.233
6m0sA	7.233
8inft	7.233
6zo8A	7.233
1t9tA	6.82
2dnmA	6.82
6gsmp	6.82
7oqeF	6.82
5upqB	6.82
8affI	6.82
7jxxA	6.43
6n06C	6.43
4v7eCU	6.43
6owsC	6.43
1ztpA	6.43
6nziA	6.43
7oukA	6.43
3pamA	6.063
5uptA	6.063
3k07A	6.063
8affA	6.063
3t5cB	6.063
4pcqC	6.063
1q5vD	6.063
5diiD	6.063
5xlnA	5.717
