PDB_ID	bits
6gz5Ct	0.3572
4amoA	0.3572
7akcA	0.3352
5garN	0.2954
4v8wD	0.2602
8g4uB	0.2442
4ro5A	0.2442
4rpmA	0.2442
5ydaA	0.2293
7ahbB	0.2293
8cehAa	0.202
2n2tA	0.1779
7s6dB	0.167
1wdtA	0.1472
7s6dA	0.1381
4rl1A	0.1381
6nukA	0.1296
5bp1A	0.1217
6lpiE	0.1142
3ptwA	0.1142
7lmxA	0.1142
7agsA	0.1142
7ahbA	0.1072
4nezA	0.1072
7s6bB	0.1072
5vdfH	0.1006
6wxoA	0.09445
6wxoB	0.09445
3rrkA	0.08866
7s6cB	0.08321
6iytB	0.07811
8g4uA	0.07811
7s6bA	0.07811
6wxpD	0.07331
7uwrB	0.06881
4rwxB	0.06459
6zv9A	0.06063
6iyrA	0.05691
7veeA	0.05691
8czcB	0.05013
8g4uC	0.05013
5czcA	0.05013
7s6cA	0.04417
3tzyA	0.04146
6iytA	0.03653
8h6sB	0.03021
7vt1B	0.02835
8g4uD	0.02835
5czdA	0.02498
7vt1A	0.02498
