PDB_ID	bits
1k98A	9.838
3uipB	9.838
4hkgB	9.838
5klxD	9.838
6d8jA	8.537
2yfsA	8.537
8gsaA	8.537
5gp4A	7.953
5jneA	7.409
6qupA	7.409
5xk8A	5.579
7c3kB	2.947
1zy8L	0.577
1balA	0.577
2cyuA	0.4345
2f5zL	0.2295
2f5zO	0.2295
1zy8O	0.161
1bblA	0.1397
1zy8K	0.1397
2f5zN	0.1213
2bthA	0.113
2f5zM	0.1052
2wxcA	0.09803
2f5zK	0.06877
1zwvA	0.06877
1zy8N	0.05559
2f60K	0.04824
2btgA	0.02736
1w4hA	0.01551
2eq8C	0.01254
1w4kA	0.01088
2eq8F	0.01014
1w4iA	0.007635
2eq9I	0.007112
2eq9L	0.006625
3dufI	0.005749
2eq7C	0.004989
4qoyF	0.003757
3dufJ	0.002829
3rnmF	0.002131
3rnmE	0.0007896
2cooA	0.0006852
2pddA	0.0002926
3dvaJ	6.602e-05
1ebdC	4.971e-05
3dv0J	1.599e-05
3dvaI	6.827e-06
1w3dA	4.156e-06
1w88I	3.36e-06
