PDB_ID	bits
3h6oA	9.466
5x1vB	9.466
8tbsE	9.466
6nn8E	9.466
4qg8C	9.466
6nn7E	9.466
4ztcA	9.466
3me3B	9.466
7l21D	9.466
6jfbD	8.903
6wp5C	8.903
4ip7D	8.903
6wp6A	8.903
6tthA	8.903
5da8H	8.903
5sc9H	8.903
6nn5D	8.373
4qgcD	8.373
8hmrD	8.373
4ks0A	8.373
7uehG	8.373
3n25C	8.373
6wp6C	8.373
3h6oD	7.875
2vgiA	7.875
7fs5E	7.875
3me3D	7.875
5sceA	7.875
8tbsA	7.875
5x0iD	7.875
1kjjA	7.875
6wp3B	7.875
3khdC	7.875
6nu1D	7.406
8hmsA	7.406
8tbuB	7.406
4ejmA	7.406
3g2gB	7.406
3srdD	7.406
8eu4F	7.406
3h6oC	7.406
8f6mG	7.406
8edsB	7.406
5x1wD	7.406
3dqqA	6.965
2vgiD	6.965
1o69A	6.965
8hmrB	6.965
6nn8G	6.965
4qg8B	6.965
