PDB_ID	bits
2l2nA	9.414
2btjbb	9.414
5excC	9.414
3monG	9.414
6pkyA	9.414
5ksuE	9.414
6kmoA	9.414
3m99A	9.414
4gg6B	9.414
7a5aC	9.414
4aenB	9.414
3s4sE	9.414
3ps4C	8.833
7u65G	8.833
6og7U	8.833
3kf8A	8.833
2qzbA	8.833
4ou4A	8.833
4ttuA	8.833
7unvp	8.833
7z50D	8.833
4c89D	8.833
6m9yC	8.833
6blrB	8.833
5xdzA	8.833
5tphA	8.833
7a5aB	8.833
8phjP	8.833
3cfiJ	8.833
5tu8A	8.833
4p5iA	8.833
7sfzA	8.833
3lf4A	8.833
3vyxA	8.833
6xywBd	8.287
8d8lE	8.287
5hj0A	8.287
7sg0B	8.287
4gvqC	8.287
5ht0F	8.287
3b0hA	8.287
4v6yAP	8.287
6lofD	8.287
2mdpA	8.287
6uz7AD	8.287
8w83H	7.775
7uzgH	7.775
6l4nA	7.775
3lqzB	7.775
7d17A	7.775
