PDB_ID	bits
2d7eA	9.58
7b20C	9.58
1yseA	9.58
6xb3E	9.031
2nr4B	9.031
1jftA	9.031
7t56A	9.031
6swiA	8.513
4m75H	8.026
5nrl8	8.026
5mrc66	8.026
2cghB	8.026
6zviT	8.026
7uzkE	8.026
2rn7A	8.026
1vpwA	7.566
3fkhF	7.132
4xtwA	6.724
2l7zA	6.724
3gn5B	6.724
6xbyF	6.724
2d7gB	6.724
2f5fA	6.338
6lzpA	6.338
2pe5B	6.338
2mgqA	6.338
3tniB	6.338
2pueA	5.975
3r60B	5.975
1lccA	5.975
8camt	5.975
1jfsA	5.975
6wm2F	5.633
4go1B	5.633
1on2B	5.633
2f5cA	5.633
1kn9B	5.633
4xtyB	5.633
4xtzB	5.31
4xu2B	5.31
4go1A	5.31
3qiiA	5.31
1jh9A	5.31
7uzfF	5.006
7dqeE	5.006
2l1pA	5.006
6xbwF	5.006
6z49B	4.719
4ii1C	4.719
3g33B	4.719
