PDB_ID	bits
6sxcA	9.359
4mvzA	9.359
7wfrA	8.837
7lqyB	7.878
7dxcB	7.878
2nz6A	7.438
7mzaB	7.023
6h04A	5.911
3hrzC	5.269
7rquA	4.975
7mz9C	4.698
8bx7D	4.698
3cu7A	4.435
8pivA	4.435
8oxwA	4.188
8as2A	3.954
4tqeL	3.733
8i0zB	3.733
3cu7B	3.733
6h03A	3.733
8as3A	3.525
7mx8H	3.525
3q2wA	3.328
6k3fD	3.328
7wfwA	3.142
5lt1B	2.967
7q60A	2.967
1sujA	2.967
7ylrA	2.801
5hnxK	2.801
7u0eH	2.801
4jqiA	2.801
8c1sA	2.801
5lt1A	2.645
8eokG	2.645
3frpB	2.645
7ak0A	2.645
6vfwE	2.497
7d8vA	2.497
7f1xC	2.497
8j8rA	2.497
4ll4A	2.497
1g4rA	2.497
1g4mA	2.497
7r0cC	2.358
4uy0C	2.358
2qkiC	2.226
3x2tA	2.226
5fk0H	2.226
8fwqA	2.226
