PDB_ID	bits
3hywA	9.62
2yf0A	9.62
6bioA	9.62
2dgyA	9.007
7qe7A	9.007
6j30L	9.007
6zxfj	8.433
5vgzE	8.433
8fgwC	7.895
8emvA	7.895
6biqC	7.392
5vfsB	7.392
5vhiE	6.921
1h4sB	6.921
5mp9I	6.921
3pe0A	6.921
5vhiA	6.921
4wfbA	6.48
6ftoC	6.067
4v7eCM	6.067
5xy3A	6.067
1wldA	5.68
4q66J	5.68
6cceC	5.318
7nykAAA	5.318
8pn8G	5.318
4in3A	5.318
1gl5A	5.318
8dy9C	4.98
5g05A	4.98
6h4dA	4.98
5tzs5	4.98
8adnV	4.98
6z1pAc	4.98
8btdLN	4.98
4v3pLN	4.662
5vhsA	4.662
1sltA	4.662
3ue1A	4.662
6asgC	4.662
4oonA	4.662
5n76F	4.365
7x76C	4.365
7sq2B	4.365
6cmzD	4.365
8urwC	4.365
7s5jA	4.365
6ybpI	4.365
3hyvA	4.087
4in3C	4.087
