PDB_ID	bits
4atmA	9.497
4brrB	9.497
7enjV	9.497
7zjsC	9.497
4dylA	9.497
3lg7B	9.497
5uh7A	9.497
7zn7D	9.497
4bpdD	9.497
5oo6G	9.497
6grjI	9.497
5oo6M	9.497
5izsB	9.497
3lg7C	9.497
5ka6B	9.497
8i7rF9	9.497
2lm9A	9.497
6z1uM	9.497
6rd8A	9.497
5c21A	9.497
3hahA	9.497
6x94A	9.497
3qo5A	9.497
7tzbB	9.497
7kzvO	9.497
1wp8B	8.923
8b79B	8.923
2yqyB	8.923
5qsuD	8.923
3etzA	8.923
6yvdD	8.923
8d3fA	8.923
3r84_Q	8.923
7lbmq	8.923
8gn2Z	8.923
3r84_S	8.923
4zwrG	8.923
3lnnB	8.923
2f6mC	8.923
6zcaH	8.923
6b87A	8.923
3j96M	8.383
7rroC5	8.383
7nhl0	8.383
3uumA	8.383
6xi6A	8.383
6h7wM	8.383
5nnvA	8.383
3a0bZ	8.383
3etxC	8.383
