PDB_ID	bits
5m72A	9.443
3s8dB	9.443
6frkr	9.443
6nafA	9.443
1hmdA	9.443
6i1kA	9.443
4fi5A	8.871
5cwmA	8.871
7pi9S	8.871
2p61A	8.871
1seuA	8.333
1i4yC	8.333
2qupA	8.333
6msrB	8.333
8cwoT	8.333
6msrA	7.829
5ng6C	7.829
6n9hA	7.829
1i4zD	7.829
1k4tA	7.354
2yfbA	7.354
6msqB	7.354
4mbqD	6.909
6msrC	6.909
4iwbB	6.909
6msqA	6.909
1dghD	6.49
4uicA	6.49
7n3tD	6.097
7pi8S	6.097
4uj6A	5.055
7p8wA	4.461
2nojB	0.1731
2gomB	0.1348
3d5rD	0.105
3d5sD	0.07218
2goxD	0.05984
2jvhA	7.47e-05
2wy8Q	2.258e-06
Q6GE15	9.717
A0A8B1CJB1	9.717
A0A5C8X9D9	9.717
A0A4Y9T937	9.717
A0A2K3ZHI4	9.717
A0A3E0ILS4	9.717
A0A846SDH3	9.717
A0A846SDY2	9.717
A0A1W6BM20	9.717
A0A380G538	9.717
A0A0A0DIV8	9.717
A0A1I6U333	9.717
A0A0M5N1C5	9.717
A0A512ACN4	9.717
A0A2X3XZ55	9.717
A0A660LXA0	9.717
A0A033UYX5	9.717
A0A2X4E584	9.717
A0A1E5H591	9.717
A0A269ZWY4	9.717
A0A172Q5M3	9.717
A0A5C8X552	9.717
A0A428A3K9	9.717
A0A4Z1DWX7	9.717
A0A139NF23	9.717
A0A387BS88	9.717
A0A4R5G361	9.717
A0A2I1TU78	9.717
A0A139NI27	9.717
A0A426TEJ6	9.717
A0A6L8MVT4	9.128
A0A6B5IKA9	9.128
A0A6B5APT5	9.128
A0A4Q7CR09	9.128
A0A2U8DKB1	9.128
A0A4P9A0B1	9.128
Q8E7A0	9.128
A0A1V4I9Z7	9.128
A0A496M2S5	9.128
U2J804	9.128
A0A1C3SVU4	9.128
A0A1V2U7Y3	9.128
A0A6G8ATN6	9.128
Q2FZC2	9.128
A0A5C8X2I7	9.128
A0A4T2GJ15	9.128
A0A380KAV2	9.128
A0A6G4N7Y3	8.576
F9VEX0	8.576
T0V9E4	8.576
