PDB_ID	bits
5in9B	9.721
2greP	9.721
1mozB	9.721
3zleC	9.721
5uk8B	9.166
6bawB	9.166
5in9A	9.166
6asqB	8.643
6asqA	8.643
5wmtB	8.149
5ze2D	8.149
4obiA	8.149
6bawD	7.684
6cyiA	7.684
5wmtC	7.684
2o1wE	7.684
3wy3A	7.684
6bawA	7.245
1tc0B	6.832
1tbwA	6.074
2hmlA	6.074
2k1qA	5.727
6d7kH	5.727
7purA	5.4
3ggrB	5.4
5xbpG	4.269
3aizC	3.795
3bopB	3.374
3c75J	2.515
4cl1C	3.782e-23
4cl1A	1.887e-24
4cl1B	3.051e-25
A0A150FXH6	9.829
A0A7Y4RJQ4	9.829
A0A6B3HXB4	9.829
A0A446AU35	9.829
A0A554TXA4	9.829
A0A3A6N8Q2	9.829
A0A0F4Z255	9.829
A0A016W977	9.829
A0A482XUX2	9.829
A0A371ERL6	9.829
A0A0D1D5Y3	9.829
A0A3M7SKH0	9.829
A0A0C1J678	9.829
A0A1Y5TZB7	9.829
A0A7J4UTF6	9.829
K5EBX8	9.829
A0A2V9DSX7	9.829
A0A2W1PMC8	9.829
A0A7R7DQ31	9.268
A0A5B0FWC6	9.268
A0A183JEP4	9.268
A0A1J4Z8Q9	9.268
A0A3G2L8I0	8.739
A0A257HFJ3	8.739
A0A1Q9S0T9	8.739
A0A1E7UCP3	8.739
A0A100HY00	8.739
A0A2W2H7B5	8.739
A0A350LPP1	8.739
A0A139DCI2	8.739
A0A7X2TR70	8.739
A0A1I0GVK3	8.739
A0A2P9HHL0	8.739
A8PVI5	8.24
A0A074LBH2	8.24
A0A7Z2JEZ6	8.24
A0A3B9CW37	8.24
A0A6C0UI41	8.24
A0A816IE37	8.24
A0A7W7VZU9	8.24
A3YAL6	8.24
A0A562ZLM0	8.24
A0A519FLT0	8.24
A0A2T3NHC9	8.24
A0A829YMJ3	8.24
A0A2F0BJ90	7.769
A0A3N4I6I6	7.769
A0A2N5ZC28	7.769
A0A2E7HHV6	7.769
A0A0N4TAR4	7.769
