PDB_ID	bits
8jdlAH	9.524
4iz9A	9.121
1zc6A	8.735
3hz6A	8.011
3flcO	8.011
7qggSV	8.011
1xc3A	7.347
3h6eB	7.036
3enoB	7.036
6z6mSV	7.036
3ezwH	7.036
5vm1B	6.738
6yalX	6.738
7nieA	6.453
4bc5B	6.453
3ezwC	6.18
3ezwB	6.18
5ya1B	6.18
3r8eA	6.18
5jmvB	5.918
7xhtA	5.918
5ya0B	5.918
6zq4C	5.918
3l0qB	5.918
3kzbA	5.668
1gllO	5.668
3h3nX	5.428
3ezwD	5.428
3ll3B	5.428
2d4wB	4.978
4c1nX	4.978
6k76B	4.767
3sk3B	4.565
3gg4A	4.372
3ezwE	4.372
4ehuA	4.187
3gg4B	3.84
5ya2B	3.84
3ezwG	3.677
3flcX	3.522
8ctlD	3.23
3i8bA	3.23
3gbtA	3.093
2qm1B	3.093
5aziA	2.717
1bo5O	2.717
3ezwF	2.602
6zq6D	2.285
6zq6B	2.007
5gn5B	1.617
A0A377L6V6	9.803
A0A1H7WXF0	9.803
T0TIZ2	9.803
A0A125W407	9.803
E3ZTQ9	9.803
A0A8B1L127	9.803
A0A428B826	9.803
T0UXW1	9.803
A0A4V6L3I5	9.388
A0A380JD47	9.388
A0A150NPI6	9.388
Q1WVK1	9.388
A0A496KH49	9.388
A0A7X6N2U4	8.991
D2EJF1	8.991
A0A412UM29	8.991
A0A354CVP4	8.991
K6QJ37	8.991
R7CG17	8.991
A0A3D5WLZ7	8.991
A0A0R1KBL5	8.991
A0A8B1KJT0	8.991
A0A7X7VQA0	8.991
A0A829GJ66	8.991
A0A563CUF7	8.991
A0A374BJ40	8.991
A0A7C6HDU1	8.61
A0A6G9Q736	8.61
A0A3D1TJJ5	8.61
R7KAN2	8.61
A0A857VAR1	8.246
K9IC74	8.246
A0A356MIZ0	8.246
A0A0X8KN88	8.246
A0A7X8KNJ4	7.897
A0A847D3Q8	7.897
A0A1Q6MPR7	7.897
A0A660LXI2	7.897
A0A7X2SRN4	7.897
A0A7X9CPZ2	7.897
W7CZE5	7.897
A0A4Q9Y2N6	7.897
A0A2S3U2K5	7.562
A0A7V6KR51	7.562
A0A249NJD8	7.562
R5JYM0	7.562
A0A134A0B5	7.562
A0A5P0ZXC6	7.242
A0A4R5MZS4	7.242
A0A3E4MBC9	7.242
